SECTION,QUERY_TERM,DESCRIPTION,CATEGORICAL_TYPES,INTERACTOME_GRANULAR_TYPES,SIGNATURE_NAMES,TOTAL_TYPE_COUNT,CANONICAL_NAME,ORIGINAL_NAME,COMPARTMENT,QUERY_TERMS_THAT_INCLUDE_THIS,NOTES,INTERACTOME_ORIGINAL_NAME,CANONICAL_PARENT,FUNCTIONAL_STATE,SOURCE_DATASETS,CONFIDENCE,SIGNATURE_NAME
QUERY_TERMS,Tumor,Tumor cell types,"TUMOR_CLASSICAL,TUMOR_EPITHELIAL",Tumor,"TUMOR_BASAL,TUMOR_CLASSICAL,TUMOR_EPITHELIAL",6.0,,,,,,,,,,,
QUERY_TERMS,Fibroblasts,Fibroblast and CAF types,"FIBROBLASTS,ICAF,MYCAF",,"APCAF,ENDOTHELIAL,FIBROBLASTS,ICAF,MYCAF",8.0,,,,,,,,,,,
QUERY_TERMS,Mast,Mast cells,MAST,"Mast,aMast,rMast",MAST,5.0,,,,,,,,,,,
CANONICAL_TYPES,,,,,,,B_CELLS,B CELLS,immune_fine,B cells,,,,,,,
CANONICAL_TYPES,,,,,,,B_CELLS_NAIVE,B CELLS NAIVE,immune_fine,B cells,,,,,,,
CANONICAL_TYPES,,,,,,,BASOPHILS,BASOPHILS,immune_fine,NOT_IN_QUERY_TERMS,,,,,,,
CANONICAL_TYPES,,,,,,,CD4_T_NAIVE,CD4 T NAIVE,immune_fine,"CD4 T cells, T cells",,,,,,,
CANONICAL_TYPES,,,,,,,CD4_T_REGULATORY,CD4 T REGULATORY,immune_fine,"CD4 T cells, T cells, Treg",,,,,,,
CANONICAL_TYPES,,,,,,,CD4_T_TH1,CD4 T TH1,immune_fine,"CD4 T cells, T cells",,,,,,,
CANONICAL_TYPES,,,,,,,CD4_TFH,CD4 TFH,immune_fine,"CD4 T cells, T cells",,,,,,,
CANONICAL_TYPES,,,,,,,CD4+_T_CELLS,CD4+ T CELLS,immune_fine,"CD4 T cells, T cells",,,,,,,
