SECTION,QUERY_TERM,DESCRIPTION,CATEGORICAL_TYPES,INTERACTOME_GRANULAR_TYPES,SIGNATURE_NAMES,TOTAL_TYPE_COUNT,CANONICAL_NAME,ORIGINAL_NAME,COMPARTMENT,QUERY_TERMS_THAT_INCLUDE_THIS,NOTES,INTERACTOME_ORIGINAL_NAME,CANONICAL_PARENT,FUNCTIONAL_STATE,SOURCE_DATASETS,CONFIDENCE,SIGNATURE_NAME
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells, Treg",,,,,,,CD4_TREG
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_TRM
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_T_NAIVE
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells, Treg",,,,,,,CD4_T_REGULATORY
SIGNATURES,,,,,,,,,,"CD4 T cells, T cells",,,,,,,CD4_T_TH1
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells",,,,,,,CD8_STEMLIKE
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells",,,,,,,CD8_TEFFECTOR
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells, exhausted T cells",,,,,,,CD8_TEX
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells",,,,,,,CD8_TMEMORY
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells",,,,,,,CD8_TNAIVE
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells",,,,,,,CD8_TRM
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells",,,,,,,CD8_T_EFFECTOR
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells, exhausted T cells",,,,,,,CD8_T_EXHAUSTED
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells",,,,,,,CD8_T_GENERAL
SIGNATURES,,,,,,,,,,"CD8 T cells, T cells",,,,,,,CD8_T_NAIVE
SIGNATURES,,,,,,,,,,Dendritic cells,,,,,,,DENDRITIC_CELLS
SIGNATURES,,,,,,,,,,Fibroblasts,,,,,,,ENDOTHELIAL
SIGNATURES,,,,,,,,,,Fibroblasts,,,,,,,FIBROBLASTS
SIGNATURES,,,,,,,,,,Fibroblasts,,,,,,,ICAF
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,ISLET_ENDOCRINE
SIGNATURES,,,,,,,,,,Macrophages,,,,,,,MACROPHAGES
SIGNATURES,,,,,,,,,,T cells,,,,,,,MAIT_CELLS
SIGNATURES,,,,,,,,,,Mast,,,,,,,MAST
SIGNATURES,,,,,,,,,,Dendritic cells,,,,,,,MDC
SIGNATURES,,,,,,,,,,Monocytes,,,,,,,MDSC
SIGNATURES,,,,,,,,,,Monocytes,,,,,,,MONOCYTES
SIGNATURES,,,,,,,,,,Monocytes,,,,,,,MONOCYTE_CLASSICAL
SIGNATURES,,,,,,,,,,Monocytes,,,,,,,MONOCYTE_NON_CLASSICAL
SIGNATURES,,,,,,,,,,Fibroblasts,,,,,,,MYCAF
SIGNATURES,,,,,,,,,,Monocytes,,,,,,,MYELOID_CELLS
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,NEURAL
SIGNATURES,,,,,,,,,,Monocytes,,,,,,,NEUTROPHILS
SIGNATURES,,,,,,,,,,T cells,,,,,,,NKT_CELLS
SIGNATURES,,,,,,,,,,NK cells,,,,,,,NK_CELLS
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,NORMAL_DUCTAL
SIGNATURES,,,,,,,,,,Dendritic cells,,,,,,,PDC
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,PERICYTES_SMC
SIGNATURES,,,,,,,,,,B cells,,,,,,,PLASMA_CELLS
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,SCHWANN
SIGNATURES,,,,,,,,,,NOT_IN_QUERY_TERMS,,,,,,,STELLATE
SIGNATURES,,,,,,,,,,T cells,,,,,,,T CELLS GENERAL
SIGNATURES,,,,,,,,,,Macrophages,,,,,,,TAM
SIGNATURES,,,,,,,,,,Macrophages,,,,,,,TAM_C1QC
SIGNATURES,,,,,,,,,,Macrophages,,,,,,,TAM_SPP1
SIGNATURES,,,,,,,,,,Tumor,,,,,,,TUMOR_BASAL
SIGNATURES,,,,,,,,,,Tumor,,,,,,,TUMOR_CLASSICAL
SIGNATURES,,,,,,,,,,Tumor,,,,,,,TUMOR_EPITHELIAL
SIGNATURES,,,,,,,,,,T cells,,,,,,,T_CELLS
SIGNATURES,,,,,,,,,,T cells,,,,,,,T_GAMMA_DELTA
