sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13
0,-0.1831753799295998,0.014930960835669306,0.09511201960185248,0.08378073705470106,-0.00029313055656485416,0.1078711837201875,0.08547093665730482,0.2877270121594614,-0.16576114572901718,0.02967335521212717,0.051766714260576115,-0.04791178730762098,0.07279491778552753,-0.050455716083857606
1,-0.23255148215503757,-0.008693012373730576,0.11685659612326917,0.07404850714232991,0.04484066407581096,-0.046781165821382746,-0.29374027488847054,0.3494335206263659,0.026584100617828194,0.06159745935156678,0.024619131513138524,-0.0697055856688699,0.13860799239319374,-0.03641093909205532
2,-0.18724293453682778,-0.03983611446200081,0.0925998693279435,0.07758035350967339,0.009347266315812144,0.010176766575345829,-0.18904447281971745,0.07482988532584185,-0.005677334800387701,0.07153851368974175,0.05801639787771593,0.03212460932142797,0.04449997186189393,-0.0031261222096582654
3,-0.32128798960788296,0.025980011447355563,0.06350705734321654,0.08368264415850078,-0.017817110760886254,0.137851743677634,-0.03423673206318779,0.2537044724863116,-0.08078541765120585,0.02607843935173461,0.0362770386831655,-0.031608609871648936,0.09925593158215318,-0.17044495468840784
4,-0.37771557564817515,0.01573138430711328,0.07963260275814939,0.09116302490550393,-0.011734027331110184,-0.007804832072887721,0.06411118942139045,0.03246718253240086,-0.07933842423504545,0.03830972533674818,-0.004840400343577135,-0.08308230286881235,0.061232497582446616,-0.13556792951288263
5,-0.31277654419590056,0.06722176429743888,0.08669550753434595,0.09943890012154395,-0.014888929502689278,-0.009141358281770371,-0.024865928161391916,0.08445411751040438,0.016042746626164436,0.04081701241673503,0.04885525336479993,-0.03106541543550466,0.11417603519587079,-0.059410436347901247
6,-0.16994229316649073,0.13410980066868716,0.10577063606293445,0.11147648323733435,-0.03436642534066452,0.06604145314766385,-0.05179153424387858,0.17967783034218465,-0.12183873545859841,0.04285540496718072,0.022130642735603702,-0.012755954539208388,0.0772674671329604,-0.059427837881810344
7,-0.2232878500810037,-0.022094274684893948,0.10270860612540385,0.06987079404449645,-0.008729349519316427,0.0307964850790979,-0.07317618971371735,0.005190728430235684,0.11276991127718491,0.04157744034858045,0.03006250083246252,-0.08262536992279461,0.06579721158804396,-0.05117101207586167
8,-0.21664568722455757,-0.031133216501675,0.10801695503733975,0.08310900377419728,0.04062020766031106,-0.07684485318280808,-0.04863841563363714,-0.07017231408254475,0.0665434626037792,0.06438532178290222,0.006554378008813233,-0.047474469904445156,0.07606986331133708,-0.12530789942292833
9,-0.24523823431549222,-0.015044804783857911,0.10746544137367982,0.04572354534300316,0.014869613955620524,0.03403382465176654,0.012832636485064072,-0.006850547063776023,0.008735190771456566,0.051867412825368754,0.00790327762779518,-0.01565090414288144,0.060368615839905444,-0.07259579724501099
