,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[2249],-0.049,0.045,-0.132,0.035,0.0,0.001,14507.0,5849.0,1.0
mu[2250],-0.053,0.045,-0.14,0.029,0.0,0.001,16489.0,5830.0,1.0
mu[2251],0.038,0.052,-0.06,0.133,0.0,0.001,15002.0,6500.0,1.0
mu[2252],0.007,0.046,-0.08,0.091,0.0,0.001,18484.0,6330.0,1.0
mu[2253],-0.103,0.046,-0.19,-0.019,0.0,0.001,13870.0,5454.0,1.0
mu[2254],-0.05,0.046,-0.137,0.035,0.0,0.001,16227.0,5366.0,1.0
mu[2255],-0.056,0.046,-0.142,0.032,0.0,0.001,15529.0,5280.0,1.0
mu[2256],-0.116,0.046,-0.205,-0.031,0.0,0.001,15454.0,5611.0,1.0
mu[2257],0.01,0.051,-0.089,0.104,0.0,0.001,15151.0,5891.0,1.0
mu[2258],0.096,0.046,0.01,0.183,0.0,0.001,18069.0,5817.0,1.0
mu[2259],0.037,0.046,-0.048,0.121,0.0,0.001,18603.0,6139.0,1.0
mu[2260],-0.015,0.045,-0.099,0.069,0.0,0.001,16361.0,5963.0,1.0
mu[2261],0.012,0.045,-0.078,0.09,0.0,0.001,16777.0,6275.0,1.0
mu[2262],0.143,0.046,0.06,0.231,0.0,0.001,18931.0,6307.0,1.0
mu[2263],-0.016,0.046,-0.097,0.074,0.0,0.001,17349.0,6003.0,1.0
mu[2264],-0.146,0.045,-0.229,-0.061,0.0,0.001,14809.0,5744.0,1.0
mu[2265],-0.04,0.045,-0.121,0.05,0.0,0.001,16610.0,5893.0,1.0
mu[2266],-0.147,0.045,-0.231,-0.061,0.0,0.001,16451.0,6458.0,1.0
mu[2267],-0.048,0.053,-0.145,0.053,0.0,0.001,15264.0,6389.0,1.0
mu[2268],-0.081,0.045,-0.168,0.001,0.0,0.001,15674.0,5753.0,1.0
mu[2269],-0.213,0.045,-0.296,-0.127,0.0,0.001,17014.0,6536.0,1.0
mu[2270],0.281,0.046,0.193,0.368,0.0,0.001,16791.0,6258.0,1.0
mu[2271],-0.068,0.045,-0.147,0.02,0.0,0.001,14224.0,5810.0,1.0
mu[2272],-0.068,0.045,-0.149,0.019,0.0,0.001,15509.0,5989.0,1.0
mu[2273],-0.056,0.046,-0.147,0.028,0.0,0.001,17134.0,6218.0,1.0
mu[2274],-0.046,0.045,-0.13,0.038,0.0,0.001,19261.0,6122.0,1.0
mu[2275],-0.107,0.046,-0.193,-0.022,0.0,0.001,15463.0,6043.0,1.0
mu[2276],-0.007,0.046,-0.092,0.079,0.0,0.001,17228.0,5860.0,1.0
mu[2277],-0.144,0.053,-0.245,-0.047,0.0,0.001,15507.0,6297.0,1.0
mu[2278],-0.014,0.045,-0.096,0.072,0.0,0.001,15975.0,5981.0,1.0
mu[2279],-0.129,0.046,-0.213,-0.038,0.0,0.001,16466.0,5771.0,1.0
mu[2280],-0.058,0.045,-0.142,0.027,0.0,0.001,17776.0,6302.0,1.0
mu[2281],-0.174,0.045,-0.258,-0.09,0.0,0.001,14721.0,6198.0,1.0
mu[2282],-0.111,0.045,-0.196,-0.027,0.0,0.001,15506.0,5492.0,1.0
mu[2283],-0.014,0.046,-0.1,0.075,0.0,0.001,16329.0,5303.0,1.0
mu[2284],-0.007,0.045,-0.092,0.076,0.0,0.001,14805.0,6034.0,1.0
mu[2285],-0.18,0.046,-0.265,-0.093,0.0,0.001,15282.0,5456.0,1.0
mu[2286],0.004,0.046,-0.084,0.087,0.0,0.001,16603.0,6203.0,1.0
mu[2287],0.077,0.045,-0.003,0.166,0.0,0.001,15496.0,6145.0,1.0
mu[2288],-0.046,0.05,-0.139,0.05,0.0,0.001,15820.0,6648.0,1.0
mu[2289],-0.087,0.046,-0.168,0.003,0.0,0.001,15099.0,5895.0,1.0
mu[2290],-0.111,0.045,-0.197,-0.026,0.0,0.001,14895.0,6098.0,1.0
mu[2291],0.043,0.045,-0.039,0.129,0.0,0.001,15845.0,6339.0,1.0
mu[2292],-0.029,0.046,-0.113,0.059,0.0,0.001,14179.0,6114.0,1.0
mu[2293],-0.074,0.046,-0.162,0.009,0.0,0.001,15154.0,6151.0,1.0
mu[2294],-0.102,0.045,-0.183,-0.014,0.0,0.001,15576.0,5831.0,1.0
mu[2295],-0.132,0.045,-0.216,-0.049,0.0,0.001,14733.0,6142.0,1.0
mu[2296],0.039,0.046,-0.045,0.125,0.0,0.001,16769.0,6100.0,1.0
mu[2297],-0.077,0.046,-0.16,0.01,0.0,0.001,16942.0,6279.0,1.0
mu[2298],0.054,0.051,-0.044,0.149,0.0,0.001,14631.0,5566.0,1.0
mu[2299],0.055,0.045,-0.024,0.146,0.0,0.001,15347.0,5939.0,1.0
mu[2300],-0.048,0.046,-0.13,0.044,0.0,0.001,15339.0,6430.0,1.0
mu[2301],0.16,0.046,0.076,0.247,0.0,0.001,16133.0,6605.0,1.0
mu[2302],-0.029,0.045,-0.117,0.053,0.0,0.001,15912.0,6282.0,1.0
mu[2303],-0.175,0.044,-0.258,-0.091,0.0,0.001,14460.0,5964.0,1.0
mu[2304],-0.031,0.051,-0.123,0.068,0.0,0.001,14633.0,6235.0,1.0
mu[2305],-0.087,0.045,-0.17,-0.004,0.0,0.001,14840.0,6010.0,1.0
