sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13
0,-0.24169286410057106,0.06547919824757367,0.12775333232446665,0.0701469920325423,0.03544881046947841,0.0066234367706744,-0.024907638583772818,0.04311195230591124,0.13623788565045528,0.0855686262854688,0.041562655876837246,-0.15156707148103696,0.045640298896563736,0.16316515885837093
1,-0.3050184404996409,-0.2885306623886094,0.13593705413202464,0.09446026342110762,0.008304509444835354,0.2511590033212644,-0.06212049649974257,-0.09783351307216352,0.23400338211781624,0.09490325864694303,0.04790145123477949,-0.11819275098132255,0.055064183737113706,0.199125014212675
2,-0.2997202684991505,-0.0913920874445136,0.13217088062363508,0.10124600498046919,0.03596599613242131,-0.005152165731917579,-0.05497288103356628,0.00987364323909814,0.34604463229723054,0.12443574864110393,0.05505365327359418,-0.12298982374740564,0.04746817783481006,0.20409013092948386
3,-0.3496735462120038,0.17459379370107692,0.12387073436936562,0.09397661843801179,-0.018018317129524543,0.23923014680497354,-0.08468585633207175,0.11718750291337182,0.06708555614433481,0.09375972741948808,0.026263863498411526,-0.029062535514942596,0.06111912620764711,0.08348838839264841
4,-0.2695967651231638,-0.0011429410103330601,0.11274573524807412,0.09169880641887844,-0.01438721082752532,0.13419869532998524,-0.03627028804114307,-0.012710157656408674,0.15486611321722088,0.10257042292771644,0.03589642882729312,-0.1118321385097026,0.07092910035868163,0.1146876483003691
5,-0.3381388622758623,0.07431555408046057,0.1429734973638473,0.10687071959510291,-0.0017463530042062083,0.026846375107437623,0.026945826076508972,-0.01666368427407696,0.159414820984153,0.09238722854404569,0.04357742727374394,-0.16219386113454345,0.07129635550664672,0.24574973786236623
6,-0.29576741623987146,0.0979724901217953,0.11913051768758547,0.05824490040371784,0.028781541213641525,0.08672470514089958,0.039858991542584994,0.03968497658365042,0.26659846831787515,0.1014911750531689,0.03793620155817301,-0.0921970789390204,0.04693093543868633,0.18506205901514708
7,-0.30441253159275816,-0.09523323099130344,0.11066491287200977,0.06759231707465531,0.0122206686421572,0.17796333157870675,-0.12642941824891132,-0.029044648882154436,0.18133756033474938,0.1150538631463267,0.03386530955613928,-0.07120707722033054,0.03347737755177759,0.017243905347538262
8,-0.28058069229363014,-0.0066337028907873,0.12532840527468844,0.08373149243234672,0.011202706401526302,0.10224708179154697,-0.18454224628238028,0.1798745808909097,0.04764313141505696,0.09703689622552157,0.02334183219357994,-0.10925630803506312,0.057812316306193,0.05895423506241273
9,-0.21099955547597912,-0.10851085610068201,0.13252920529361187,0.07684746638547156,-0.01019902687877557,0.2037720499727341,-0.16386888412995743,0.12980938454766605,0.11895774975761603,0.0844087586216216,0.027495281291357674,-0.15537985811806818,0.03289292798005457,0.035303803793789106
10,-0.21187959733880726,-0.08953174557586202,0.13477009888047303,0.07650707165929652,-0.010770765985266434,0.19209733338915227,-0.17101974615171364,0.15488666128523518,0.1167048238184398,0.08594629110702864,0.03242837145258734,-0.14082979117179326,0.03811092177978534,0.03268836011424464
11,-0.2604640521403583,0.01761258644863121,0.1521168302723945,0.09655288517988765,0.03938841308512023,0.06246086953719676,0.0840165407017787,0.24362458060522518,0.10229178989006758,0.08939005989446268,0.02368968445868377,-0.13120766080366833,0.03855235564000911,0.11804778983978385
12,-0.3251778268800685,-0.013539357999721578,0.13971017086507753,0.11165174206475922,0.0209804409895179,0.166575526125748,-0.09901121621353424,0.029848206669636577,0.10056023393838155,0.08011600854492384,0.039940832200696566,-0.059352506781814834,0.026357810689327858,0.11895878048175547
13,-0.29056826949906245,-0.04756600934480376,0.14077165402808392,0.054585368087648,0.02884183926776798,0.2654633726522277,-0.18497208615086758,0.0070417312887708725,0.17901752484574904,0.08678501568383051,0.04974791052485205,-0.04209002892813898,0.033790011451548606,0.05653140196384073
14,-0.24825979174739607,0.04528108943109648,0.14343351695619097,0.03297669034717208,0.02524417002133,0.1296299260285103,-0.17038407036860806,-0.04414811313491489,0.23908637960860102,0.09592309997808289,0.04643396873221801,-0.06390465321079325,0.028457000577837777,0.07018544822310513
15,-0.25091718112908007,0.04812830820666985,0.15529107487055133,0.09929265724601181,-0.00433778741463199,0.18184752916737154,-0.07249707410219497,0.5140718525322446,0.1295024080750845,0.1022516841107573,0.046510434346460836,-0.13383306155488744,0.034413791631583174,0.15426117767748546
16,-0.3554562955046788,0.008997328704863994,0.1290657428989025,0.0552863440363615,0.004753351602789794,0.13837133582852154,0.021898320286900336,0.27886979556164015,0.09667936181550439,0.1073841956832569,0.062201086064822664,-0.05593383328950979,0.05117609502522584,0.16632368843645093
17,-0.34654105251486467,-0.015543125748502536,0.1302351587046338,0.0681316774745499,0.006297136034013445,-0.04347081416250078,-0.05618137544672389,0.08060319373052131,0.5177570867972107,0.13020312401496512,0.03362856526627821,-0.07108012601534712,0.030059377813699262,0.14026759462615798
18,-0.2612936116114244,-0.003376366164088672,0.12956279197889425,0.1047706793622624,-0.0016376196692591985,0.24428054586402018,-0.11424822457538296,-0.1942571277057686,0.07874382043045182,0.12360345208294905,0.024643414322668616,-0.13936194581723113,0.04036841416273784,0.11946733738690704
19,-0.3902941202648741,-0.014916909980784437,0.11884236498916176,0.1270055706260876,0.024672581139620356,0.09061875411739113,0.011651603079588957,0.22829597176813904,0.36375068826706214,0.11685707717505578,0.044918387795286306,-0.10244198476744952,0.02767672278101191,0.1132523579603552
20,-0.30454895673768334,-0.0813031818587924,0.14281988545864419,0.07733809996620834,0.029031944467231837,0.17261643081165998,0.022913536476999927,-0.15219651690775918,0.28204677040892034,0.10370301692489207,0.048449172908717565,-0.17305334096357525,0.03983716359004216,0.1544827040787683
21,-0.3262822653329526,0.10238723772830637,0.11526480127312089,0.1136150533853945,0.006526520216305556,0.2188741737545683,-0.003271254607583297,-0.027493428442844015,0.17493711192949876,0.1378964213098147,0.04402763741770617,-0.1901572289661193,0.022860964280835637,0.14523663226762082
22,-0.30712662321552453,-0.07848137126676188,0.14246707808730397,0.07155916939180494,0.018546077064953342,0.21614450747900887,-0.14904126290003572,0.06745660291040195,0.2855272338132185,0.09848456878027283,0.019617695160512642,-0.10009251382462173,0.03461544116854442,0.11726180088626482
23,-0.24368886858835037,-0.06445297509236439,0.1317634099339939,0.09054447414097426,-0.010824038899396099,0.21510974031767882,-0.11630200061878465,0.1239571937343887,0.1693624927334747,0.11480486549203478,0.031726072002869476,-0.13650611339655475,0.059239250862761245,0.12451411921572883
24,-0.3309368057074541,-0.06348347542131523,0.13418093593152844,0.09621382707577716,-0.012039876392844866,0.20095473536749225,-0.009885017606773343,-0.01005043534712777,0.20556549732737583,0.09817753421723872,0.06552477786718382,-0.12301686557356836,0.051979292753043006,0.10543662430146017
25,-0.29280014405360205,0.08163629166883589,0.11511269928461701,0.09064851533920437,-0.015545880271672499,0.18052588053807958,-0.09115305831171905,-0.16552405056923153,0.2646817219478732,0.07256103476647863,0.05823215119834078,-0.10475781680928581,0.0430485431040216,0.19065843501964916
26,-0.3182606787217644,0.031391134354710123,0.1368327075507013,0.1095463601384999,0.006336752442031934,0.19959512249194872,0.11572739495014515,0.006611957897067579,0.21240153852794352,0.0985059829632858,0.032167859831391685,-0.1786623210040779,0.04044907560840083,0.13634788180806112
27,-0.28737410560641086,-0.007106495341481506,0.14043793009637304,0.09185712346627314,0.009421338431136109,0.03701651332900661,-0.17369504952878168,-0.13044114670951296,0.18023603132974889,0.12176179009956488,0.018095815543496114,-0.11183656185710737,0.030541916638791394,0.06215843263770978
28,-0.3897412465336291,0.003481109377954933,0.11196922161016654,0.07998437237589037,0.0008525727361564387,0.08787485190304853,-0.17141772745381834,0.014164518094505555,0.2965894472366982,0.10381405954398172,0.02810319171148214,-0.11867053865901532,0.03789032163782754,0.03698860143989546
29,-0.2899268274357887,-0.012374160908683268,0.15589777031986252,0.08226224510263323,0.015107978280453207,0.038845010443526666,-0.23002018196298757,0.1863563461578903,0.06002593063343447,0.12959431535524082,0.0541371221703642,-0.1923943881397545,0.06210660762364896,0.08191152087057439
30,-0.269532149504276,0.0814831107289623,0.11484658815918874,0.08790835517469661,0.004258201910148846,-0.02063314003399537,-0.0650194300404048,0.10037719395394594,0.18646530592127655,0.11782329311036688,0.04520562455650323,-0.08634991120694183,0.058512618259543195,0.051272084376197506
31,-0.3535466419312,-0.023933173957972217,0.13345182773504136,0.1065129911010072,0.0225479079042594,0.3254380977404565,-0.059473666229971425,-0.005014039909491083,0.10492495108279151,0.11146331443701711,0.023830242606492972,-0.08988883129074926,0.04876482727104042,0.07073995051411487
32,-0.31167238386753626,-0.07487019678459489,0.10794547148068119,0.10824890669901888,0.039994451244353225,0.13778630922042245,-0.0882674063337296,0.045246940264220936,0.272101330999492,0.11510664524768234,0.03622878460497323,-0.13186347045988042,0.059423113556973925,0.15388010500863572
33,-0.267339993505298,-0.012489371289673843,0.12264689696199887,0.09762715961389928,0.03192943383960548,0.15370079411342422,-0.05656428006183289,0.026137534512651567,0.19483732176643584,0.09702088876968833,-0.013259789679650594,-0.05365865640245509,0.02899717675074136,0.07915070328885422
34,-0.3660645866429333,0.026024525625547548,0.12371408540723526,0.11316953088821567,0.009666253049514609,0.12175458511100477,0.038083465345469185,0.2604866526066862,0.36648042665003017,0.101268731428888,0.03879187027801843,-0.16321671855402842,0.054732874472037625,0.22192186513055928
35,-0.3078836287195118,0.1769279064857323,0.13107444810566565,0.11366670960945525,0.009764332681798943,0.2038526906000148,-0.029214067913950644,0.16216411579747364,0.18081164903339267,0.11534874723189054,0.027575273099900075,-0.2008596247038095,0.036316386059454496,0.21252998470648052
36,-0.34427967270115956,0.20742914177965247,0.11035732731971645,0.08325069911200299,0.016584175154890506,0.1536130933155277,-0.049386102047109054,-0.08768170718340017,0.23604832007037196,0.11071862577690494,0.027361927400210265,-0.06434435035484036,0.018665678082664214,0.11003841078724318
37,-0.2379861148553078,-0.16376391907194088,0.12724605732095592,0.08998630348482813,0.0159659403847151,0.0971057372117901,0.025805170014902935,0.16515901095690907,0.15549402069195525,0.09199764710857632,0.00023193217432591768,0.00034830607315709415,0.029612362459377085,0.1276510709055505
38,-0.3181817944180395,0.18127281424215932,0.1245730510772439,0.06863238121883677,0.025532557098827537,0.24590835404377065,-0.0415429806009707,-0.08120252618040785,0.16176499164558075,0.1353112996113512,0.04189550411668714,0.06324623860055,0.027995267630582816,0.10867851750319175
