sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13
0,-0.3708909729761472,0.09361256363485604,0.16053521195090026,-0.0348625132757555,-0.002820356877009934,0.2453462924030495,-0.2504909128883291,-0.07399539641937918,-0.05908177531569634,-0.30478660060965007,-0.19171179747940525,0.0042015855750288655,0.04374732028343972,-0.0011558246050684673
1,0.05787061393721549,0.13844040395078083,-0.3120135695673276,-0.015932537420626183,0.009350318850744476,0.11098690557410107,-0.18269500029747296,-0.07990788723499745,0.031712937323481565,0.2830338362166783,-0.32892105918213865,0.011063046574628074,0.28677352160791086,0.021093030917622796
2,-0.10124771725342865,0.11594514758931179,0.6065609983203257,-0.012199347391569013,0.021407349299183528,0.2597758405415029,-0.3084455540267665,-0.07397192193485086,-0.05407096335457346,0.039146170213251334,-0.14284099822641985,0.04672260389933282,-0.15910483566015737,0.053162233266266595
3,0.16806721058027657,0.12618811188104678,0.6523220297574929,-0.018695744612792442,0.012657654956375018,0.34987145806735626,-0.2653102441595779,-0.08872405006709916,-0.016379672082956674,0.1364717230912337,-0.26609792324439285,0.021704395991455842,-0.01241976675087525,-0.009413254608848759
4,0.1524626445849026,0.03838650330632389,-1.055403299291266,-0.021165038740153186,-0.0007315745986420617,0.7220993770091573,-0.27737652372606514,-0.0919475184389691,-0.007736276291791307,0.0403481338242469,-0.2626940849147954,-0.015302952059908129,-0.6982216742880194,-0.019313707738877826
5,0.09787909679459006,0.15503630068392432,-1.08943188192248,-0.0486788475287073,-0.002136568368166054,0.588295989330549,-0.18515398202625566,-0.12355355068972866,-0.01868472190023512,0.029551360694952296,-0.049810345857236996,0.021287945564366362,0.48842168000684444,0.005637314211893618
6,0.08867568390467578,0.2065999534960183,-0.43328804799389664,-0.015599276362901607,-0.016719532450407318,0.8124721664354572,0.1773577707965607,-0.09807688364505052,-0.03418465413874819,0.09477121631776304,-0.17017865354652945,-0.018680059479017422,0.2604551825205891,0.003715781292899026
7,0.04876247187100852,0.16020459679506868,0.0019872478959378262,-0.028626329134306697,0.05695918957640588,0.8773447399858014,-0.13069790471323367,-0.08285205599553067,-0.05979784462355404,0.049036035135285136,-0.24647991199330954,-0.03178897547812236,0.013138887025296867,0.024224150292904145
8,0.6635159026677482,-0.034180820348696475,-0.27568979708618235,-0.007840122217792178,-0.003878411908338354,0.009251792587525343,-0.44614301148210417,-0.07467580962324913,0.0034663821431672043,-0.1818525449477389,-0.1583485724250572,0.07382719938603362,0.15085372818869583,-0.027446322832821113
9,0.036804494274750466,0.10399293988363213,-0.13005056447830715,-0.044102609762133954,0.031068418256281594,-0.381563098705083,-0.44201646797215627,-0.0460236450699045,-0.04449945542769596,0.0326966121215297,-0.3191693323442014,0.006888465918304339,0.45901603784421924,0.04718188010279416
10,-0.16167604275114209,0.016723089992503062,0.10650060487702362,0.008126417046607382,-0.007960049386955315,-0.013238036360165961,-0.6251345827838762,-0.0833901574614586,-0.019172371437676434,0.11340389507294048,-0.39002539892839777,0.036526278394846595,0.14032860425149546,-0.020630388095527932
