celltype_idx,celltype_name
0,B CELLS
1,B CELLS NAIVE
2,BASOPHILS
3,CD4 T NAIVE
4,CD4 T REGULATORY
5,CD4 T TH1
6,CD4 TFH
7,CD4+ T CELLS
8,CD8 T EXHAUSTED
9,CD8 T GENERAL
10,CD8 TMEMORY
11,DENDRITIC CELLS
12,MAIT CELLS
13,MDC
14,MONOCYTE CLASSICAL
15,MONOCYTE NON CLASSICAL
16,NK CELLS
17,PDC
18,T GAMMA DELTA
19,TAM
