sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7
0,0.002443916859255907,-0.135580962071189,-0.16010610261164093,0.07551820306695095,-0.061837626791162024,-0.11288993715283771,-0.28394867199627805,-0.12686712014412163
1,-0.05514955163258123,-0.21361549329008966,-0.21792017272649558,0.029129471354876507,-0.10785180381469318,-0.1684715907902806,-0.34332243640950233,-0.18168717967066952
2,-0.13333513045278833,-0.17063102689745321,-0.2381877312094415,-0.02922024635498298,-0.1347553078430451,-0.21987399024722953,-0.3764139500338843,-0.19591879260497055
3,-0.11854221442705333,-0.17734986146442763,-0.24745280652844004,-0.01305798547885767,-0.12657175037052823,-0.18634730704732239,-0.3719843820457974,-0.19683810828447146
4,-0.02788918561578216,-0.03666184772005434,-0.19194259741627567,0.04017029024154728,-0.08511808962717485,-0.09385941244766702,-0.29489361559348654,-0.12381440206742435
5,-0.006166696793129783,-0.08034662830558477,-0.13109697321740388,0.017304037361064784,-0.07206200225883627,-0.13396691245752224,-0.2830579713094639,-0.15753085984032567
6,0.012440809461925995,-0.07595575061718715,-0.15324488689307314,0.10163909093978085,-0.06116957720493726,-0.10131921771117389,-0.25465398747597057,-0.1665330866787515
7,0.0038994469890000494,-0.10526545085565561,-0.1519185385206715,0.10250353929124231,-0.044551602929242304,-0.07158296125997003,-0.25218353268634885,-0.12540063328868775
8,-0.06376613339044299,-0.13718437555920548,-0.23050073056485212,0.03300925143127845,-0.07946674573897762,-0.1446346845713849,-0.329828024950907,-0.12402518554299344
9,-0.06081910370245855,-0.12344686014586896,-0.1643355603584606,0.04007392386612335,-0.09551356429831223,-0.088310146643486,-0.26046794780222676,-0.08050793693124389
10,0.05025803656726646,-0.00779188008728412,-0.09437072564997485,0.15071765607480486,0.03029932877336649,-0.04753106316541853,-0.18451525453633738,-0.08341888431477515
11,0.026937445784486452,-0.0387809776891168,-0.10416340715800813,0.12418255907328615,0.05970679560527279,-0.04181200230105442,-0.19413526869526698,-0.019056394133983995
12,0.019964482658871213,-0.07831860180439411,-0.118540224588012,0.13931539717634545,0.06039750051883312,-0.03155924774654564,-0.1980192646675216,-0.027544631585472327
13,-0.040126838331279224,-0.1008985503572684,-0.15994187630935064,0.13442936545894676,-0.018069469154680214,-0.05711851279785088,-0.17640800481508004,-0.08064848336619401
14,0.038269656585520506,-0.052801167883167015,-0.09515724487326023,0.06730601318894444,0.014991057500513646,-0.029781054022624084,-0.2201114307013792,-0.07798146605966412
15,0.009400984631911025,-0.08173289002402244,-0.15918814042457058,0.060427119252650874,-0.008310967221458986,-0.06590466030066988,-0.21512184412750213,-0.11980120196514414
16,0.03005966411648245,-0.09261863770235886,-0.1418215935637156,0.12233334087335013,-0.023185251675482133,-0.041958128229748176,-0.24772870747699954,-0.09529310385403018
17,0.030393582571973943,-0.03332102992636963,-0.14663874760585738,0.11118022899772814,0.06402393871374834,0.0014605739518383093,-0.14353657685639046,-0.08326049583141953
18,0.015126828723363767,-0.1478811412072402,-0.10293206182950602,0.11205426977295918,-0.02645186181027521,-0.03120781323902934,-0.2067149508195889,-0.11474300163740117
19,0.02267435126416531,-0.17890001412055734,-0.1694139658828093,0.0554455468602566,-0.024172382630157828,-0.04865161298771257,-0.19707072922606728,-0.1225053307998667
20,-0.06478527857730121,-0.1763640612328661,-0.181953625643608,0.07101757067667996,-0.06951145775918884,-0.0784094869504382,-0.20512803278869812,-0.16166567195061338
21,-0.0539417263299328,-0.1063906791713037,-0.22428932869300405,0.03167598702514521,-0.0557252395001504,-0.10793728740808883,-0.3473562704525615,-0.16664366232194228
22,-0.02304750790708096,-0.15446256058359298,-0.14989175549932826,0.04821683434535082,-0.0667928104900292,-0.0690645690812462,-0.1887025232114099,-0.13323716136434735
23,-0.03021879520972981,-0.17187615026813613,-0.16798275091618065,0.012599355635685233,-0.10553595222671402,-0.07684548007384556,-0.22076720358870167,-0.14660318706705988
