sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7
0,0.1990673577186731,0.10214542032036354,-0.01133166311295958,0.1559492879758251,0.09293205967814361,-0.05993681267373163,0.16704484552451995,0.12812181633992484
1,0.24745600539254542,0.13156373829799217,0.013878152610010889,0.17156837994795898,0.047758521898637885,-0.05336753755170817,0.1937934051458552,0.16098609564468722
2,0.24176521436362428,0.1149452994170576,0.0028309718734288902,0.14522668664050267,0.05657909389843409,-0.0547996380834665,0.17715304205619176,0.1417573012200877
3,0.23501472346143906,0.13672752277538358,-0.022840501550443426,0.1860045842272948,0.04944768772887879,-0.0753559479185364,0.18294399581118087,0.17565246748834473
4,0.240481115789055,0.034687948523568796,0.010985714566314227,0.17730988046903023,0.0833674000561346,-0.022745661001880413,0.15774612272912797,0.16932465654242368
5,0.23967755409734084,0.07859474909969108,0.016337796400543662,0.19532069706950428,0.09281374614916521,-0.032741695953506955,0.17406027133122293,0.21379604717965064
6,0.23745162745293724,0.05787175299187506,0.009790138053261682,0.17262858555463956,0.12107924970483706,-0.057253100756158005,0.17690681978306866,0.18867883450434894
7,0.22115268764250598,0.04291077564324355,-0.04288753209692801,0.13107626125853647,0.05303787751041515,-0.06630105848675989,0.1242313065991125,0.10460187421382693
8,0.1961056132158115,0.06305360524621965,0.0016652753321271952,0.18499757185212243,0.05118311431163838,-0.0834755214125341,0.15628586840168016,0.16742642779523517
9,0.22090241071760205,0.052648123330737706,-0.04424463802169322,0.15747624552449072,0.030318965756636413,-0.08824892060615382,0.1361660060576417,0.11899171975727312
10,0.20184414438004866,0.021946078484868996,-0.042704600745684065,0.14818960704395717,0.04644911892701684,-0.06009621886872204,0.12468011345660363,0.11688651026826456
11,0.19135227623339154,0.03378137747439165,-0.04627280005192018,0.18919428180459,0.03204923724128691,-0.0787428812602181,0.13377769078171903,0.08594917586443455
12,0.21929836179580567,0.06847025028320516,-0.058081444657802496,0.1292426722437683,0.010356608384934175,-0.13461064537457101,0.13278421910917654,0.0561012264942105
13,0.19423759750704456,0.09785489652779943,-0.05323696483073494,0.13742448400330295,0.004792254746547159,-0.13327840176967296,0.11888742929482862,0.09046525015092209
14,0.17451700931618175,0.06980961286010426,-0.0524962086211576,0.13622065329265903,0.04249522515113642,-0.1246137406406606,0.13320254723841193,0.09855194494402282
15,0.17032444786745926,0.06716656413510655,-0.010100244182899733,0.15104575986882476,0.02689530532535678,-0.10384906427703025,0.10785029322709984,0.110474765634069
16,0.1837848085268843,0.10271437635165252,-0.05245571476486466,0.14963070116343608,0.03280621454715541,-0.08558130665266017,0.14053532189056822,0.10381046827761752
17,0.2023555653477851,0.06410527492582135,0.01093964745263605,0.15942717113979657,0.05492446981893587,-0.09852255130519394,0.15260506181242886,0.1366843120136945
18,0.21539559945267456,0.1347727923600588,-0.009478686246224164,0.1565225109488781,0.0569522226163735,-0.051368828255670296,0.14838875585387062,0.19149727600565689
19,0.2263659921825407,0.12267587068847538,0.0068228287524155235,0.1644461386581231,0.05439644330392397,-0.05996174767035644,0.1453490734112217,0.18195711520730368
20,0.2283184117974968,0.10952867352584778,0.008516092364478325,0.1784542769702319,0.0695154063032295,-0.03772178823494689,0.20199288079522132,0.19104621651185114
21,0.2212676065709681,0.11901660111920448,0.016088681756504658,0.20328508115075963,0.07478970014169017,-0.03692844038093481,0.21179603084547535,0.16787714142419238
22,0.2574150489509767,0.06207886467006575,-0.014680346844764394,0.17858441859472,0.04221934051993337,-0.06643186902010473,0.12872632043238183,0.11886060465209551
23,0.184118286917921,0.05131167018144431,-0.036051333034728,0.1906512928383421,0.046897591914919566,-0.10604356708765528,0.17050310227073756,0.10669054149192626
24,0.1882101452614409,0.041566478904153444,-0.03859092675533726,0.14263695516899322,0.05549530530776412,-0.08706036151760764,0.14162481559165782,0.1472965796819525
25,0.19491562154666275,0.03915795805768021,-0.033583548681895066,0.1654358651582997,0.013603070663791945,-0.08589282915715207,0.1169652464418572,0.10417227942485759
26,0.17927167038243796,0.04239286353515555,-0.044454403425613714,0.11713682239365379,0.026799204640348257,-0.11300427096620021,0.13130479332525324,0.08879460135984792
27,0.16369378719284272,0.02155804097330342,-0.032408345179121806,0.11717505785233158,0.01972156905493348,-0.13536322779726132,0.07539520093939467,0.12559822781277244
28,0.15797338158135016,0.019407772316688603,-0.07618888068859102,0.14189154930494582,-0.002433248553632474,-0.1667412327205191,0.10926317868857845,0.09756781285764486
29,0.15586058859834864,0.032856223282779755,-0.09682328154491457,0.15530386813499747,-0.013619814077303954,-0.1413594764034599,0.13203507438161888,0.06319271114740942
30,0.17789529815754748,0.04488204095043053,-0.04877181516351203,0.104648901551542,-0.012360465899290301,-0.13707693460241585,0.09749161227969505,0.1334065467106513
31,0.17676004858121683,0.035434588763996196,-0.06382602813287708,0.12761421517912266,0.015070937823318642,-0.13115233569555956,0.12365238434672968,0.10135738257253042
32,0.16825901480265493,0.024781089554635635,-0.05748031258571488,0.11604663288855979,0.012297751595792123,-0.12212835437301582,0.11058136604942956,0.07324226737930435
33,0.20077073382391017,0.02652534562263383,-0.03837637740842404,0.14267396438076788,0.019280415659427053,-0.11054703432728076,0.11802608831232944,0.10273367564825948
34,0.18462270839917322,0.02124643082516981,-0.04472849716037336,0.1662182478165519,0.005821242354040207,-0.09478526554661236,0.14003676496552145,0.10254086493661274
35,0.17650080871098356,0.05371371572209604,-0.04935399809112937,0.14149433741289974,0.055390851851852704,-0.1265300642209652,0.08813245787632017,0.09034789187417007
36,0.15489031083678229,0.016451909364109066,-0.08241419548381844,0.11462735659546183,-0.016330459432517246,-0.1263859267959435,0.10557643706026162,0.06475998099430824
