sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7
0,0.2400057721135513,-0.0007389523237529465,-0.20585779693721062,0.29832906363036255,0.05103351390317065,-0.08780736918268792,-0.1429403619919678,0.043339632231959205
1,0.1716721261911719,-0.02121083847673233,-0.14048963526740957,0.21093787092783153,-0.001781981140081643,-0.09812112651396748,-0.1131568887083403,0.06749869537290229
2,0.22831458594737222,-0.010092509046036554,-0.14488459654872302,0.22978940129714948,0.026774758826820618,-0.07095033897241458,-0.1254674866406682,0.034049567293044605
3,0.2579303710619553,-0.009764741433568815,-0.22837221813462266,0.2916177256073568,0.023014601953718426,-0.1059294972525637,-0.13003700188100772,-0.015026017186402642
4,0.16478286184605576,-0.03360833295018208,-0.2219920584893911,0.23905924720314678,0.013072658053288284,-0.05409799395882286,-0.12304558294927226,-0.08441833973906941
5,0.22998214590769758,0.02144637489080842,-0.2617784344709645,0.26570857431693273,0.03689221474378686,-0.1136594339411239,-0.1253836841228458,0.046685100956683045
6,0.1599765297623103,0.00033023112940325884,-0.21901743353031228,0.3210559991777612,0.04457079850989592,-0.08283662265612145,-0.1402012779139331,-0.0028461241289912545
7,0.2865153891311502,-0.04209132107728013,-0.25534733289891715,0.2433188896132179,0.021158992049470485,-0.09675061181437686,-0.11291704948601325,0.014239363123230861
8,0.1410604289613716,-0.025572002568319513,-0.12937786405561663,0.21091129728740246,0.05264104968036976,-0.0744671976348644,-0.19615587060854475,-0.0731209550008354
9,0.1664525447425899,-0.03010781947231957,-0.1598434283820132,0.18336890474272804,-0.028395622814890692,-0.06258095664521941,-0.16736463642757216,0.003968506623077033
10,0.2653433158199813,0.008529664240192976,-0.2289371136385945,0.2899770695263702,0.01852114539647737,-0.08478675628896382,-0.10126392253665978,-0.04952689790518189
11,0.2180463650836476,-0.03238749223672951,-0.16908731774258398,0.29761483729751087,-0.027492667340792577,-0.07852810179643162,-0.11967830602903518,-0.01898446567450535
12,0.2092058307223904,-0.027391830667534468,-0.20469885167312057,0.2465319754014158,0.00072286642878417,-0.09627164182182128,-0.13040948558204915,-0.07378206365365181
13,0.23594892988559843,0.0011719997406571393,-0.1417572779519368,0.2505943538965214,0.018254193880578248,-0.03257207189381915,-0.11989073606833253,-0.05109225388582933
14,0.2155776814208109,-0.008804904217462932,-0.1446758691164138,0.2392172935176429,0.015750683766139285,-0.046999602813053196,-0.10304352794927239,-0.036335929777881
15,0.24257869778153468,0.021678842527135884,-0.18778777910268957,0.13128440022225807,-0.001513157734607804,-0.06681133640259962,-0.08087799762350259,-0.09135318846205286
16,0.2528399186569212,0.0057140948411632244,-0.10857628589388803,0.2642176112001763,0.0591469335120326,-0.12416904698099485,-0.15579468146727266,-0.09033755826630614
17,0.27146576068391365,0.0036242514196990444,-0.182110463332858,0.24419023343103002,0.015400410147278337,-0.08658355081312862,-0.09904790077327047,-0.05726985196153237
18,0.3064821533317846,0.004386656500587345,-0.19675313847443018,0.22626837150087473,-0.004847413670926093,-0.09522420844590199,-0.11271801620321788,-0.058048063089002754
19,0.1949009164479664,0.030812797620189535,-0.1946565813766556,0.26211700004036614,-0.022053178941399063,-0.10107630147012141,-0.11109473437027081,-0.0649169810003103
20,0.2157268664582377,-0.03543589043653192,-0.14543750068216052,0.2232204585517046,0.003011717195524367,-0.08607201268600732,-0.1454288797656971,0.020587559868867178
21,0.2531599412502607,-0.0016846513135758431,-0.2351581780118796,0.3568685709134438,-0.018686699558632225,-0.09274266385462403,-0.14056158655817938,-0.02334272422185088
22,0.22621571381940977,-0.03319597926152195,-0.14816927929455576,0.28668732325655594,0.011187757874528342,-0.09110657046003404,-0.13297923338267945,-0.0017308222120176744
23,0.2329418970221653,-0.04264191793713963,-0.17741657285831994,0.23652666123850707,-0.03590116101767562,-0.06550366520956516,-0.13682181353573108,0.004016373950415261
24,0.24216893858394042,-0.04539658634395232,-0.18985027302686952,0.23471102203906744,-0.035129410109307084,-0.078452858825617,-0.1413042743743604,0.01662748844388672
25,0.23755062993301193,0.026326302089130522,-0.2201352764697308,0.23535401885920224,-0.01475206539550377,-0.08694041729957717,-0.15200756617439537,-0.0017611786516602255
26,0.22550658225582318,0.028373916674987412,-0.1872553623742461,0.27941393215026733,-0.046644457325236956,-0.11528109178432869,-0.167940092645341,0.03872849780708029
27,0.24703516894777203,-0.03696116991867628,-0.23474472746538144,0.32344971681064427,0.022470501705065593,-0.011126748122817417,-0.1403802598976049,-0.020803014501694677
28,0.22893640259081366,-0.023609910824423392,-0.208190318433058,0.22418639099270615,-0.005806132535072967,-0.08235898685436355,-0.11636809635775844,-0.11730159473204789
29,0.2344284722190168,-0.05419394514619627,-0.19131501854160024,0.3244074033942106,0.0006372176707576159,-0.06407719428324968,-0.15870900596713766,-0.08259010142377007
30,0.14026456963899872,0.011528666477609618,-0.21594068007864606,0.19038313739316415,-0.0328621876738765,-0.04775812739679784,-0.10530015655405829,0.04007630038330834
31,0.2798919199885781,-0.0029798289165687865,-0.19548057087933723,0.24801869939883994,0.04169625045057634,-0.09801738050236608,-0.15765229590319035,-0.03269078517680868
32,0.2688122656223878,0.01574588237800587,-0.20474615890294803,0.24743855153239197,0.0391595730003342,-0.08789652430326014,-0.1600713731734207,-0.00875569530552365
33,0.23712646698533502,0.04103539158748622,-0.204111653181303,0.2049297042397392,0.0667145766948151,-0.0599614669940124,-0.09722537055249371,0.012623071641033141
34,0.20704634626803065,0.01152316908191256,-0.17702097415224294,0.27301137331445985,-0.017736165477663008,-0.08850273585966222,-0.1587016457276315,0.014585162083055533
35,0.24828219672595778,-0.02972124388613025,-0.15267455442955719,0.16621671118697903,0.0035373765545180483,-0.06402652693440573,-0.15656919412096332,-0.007913728374114162
36,0.2580033785196601,0.02234051977524954,-0.1806794603626933,0.24796433591237602,0.050335618152466226,-0.10066071900595076,-0.1457540052131533,0.049350781216128375
37,0.23182867270174787,-0.07823970060956761,-0.19632760245122027,0.2109112956939219,-0.009411750561017316,-0.04872311269805736,-0.13097908691441554,-0.05300086277149072
38,0.26887636234912704,-0.08928011421281547,-0.1701621786145998,0.22761922328620254,0.006982699130785245,-0.07365469960975575,-0.11488804868669729,-0.04183155623337241
39,0.25768973201158035,0.0431777092960471,-0.12124510145435256,0.2629481165060414,0.0020440867838820323,-0.07219199639491922,-0.1758775197296359,0.02676937177922073
40,0.2732844510367024,-0.051993985095108004,-0.2466970976842158,0.239250908582445,0.02269088567529361,-0.0484625855073455,-0.10825849994669604,0.04692608524141268
41,0.21510908317558147,0.02057273596531429,-0.19119866264389787,0.10513009352839411,-0.022956832371461938,-0.08448453640457025,-0.15927868050704483,-0.0032877059713614606
42,0.203866828309733,0.01761551289064578,-0.17974907422042471,0.06289533576997132,-0.008171593114771006,-0.07112425608952805,-0.18003529892553244,0.0032560518689631482
43,0.268049553976643,-0.05509326887156722,-0.19954463583613583,0.10759055835997328,-0.031871429698015596,-0.06519986162374287,-0.08020191654304165,-0.11165295782568577
44,0.2831038159107009,0.011188011583807098,-0.22933080198090403,0.16602662656379208,0.045732219071800535,-0.09141916921234246,-0.07489687469136073,-0.057570163193888205
