sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13,celltype_14,celltype_15,celltype_16,celltype_17,celltype_18,celltype_19
0,0.24771717306408012,0.22956793366238556,-0.07022529794887458,-0.00037938228008670426,0.029543530658594913,-0.2089827792214199,-0.023732084334897208,0.030879411456369868,0.038255534630872993,-0.16112654663607773,0.04784578428241989,-0.18221661810578238,-0.003867265869186448,-0.32226094222640866,0.021077167135072017,-0.041843499326347164,-0.01799018587448011,0.007355081494991718,0.1687352067916291,-0.15241032936160945
1,0.12277135900257083,0.25107023737190853,0.035674539068871455,0.0002072465322570517,0.006651489043407713,-0.16642998305482756,0.010911988235788343,0.14548880966176456,0.04687882003440396,-0.03070414015620196,0.017444593358640084,-0.1759291648914692,0.032299623506926986,0.12357698050542018,-0.05796859638377936,-0.03495282757474034,-0.10608418002872816,-0.01995887446803153,0.10579230791931118,-0.17824662746383255
2,0.21117852695837816,0.32407609474640864,0.035838235852365584,-0.015310633651711352,0.03941319293587688,-0.2007428902809862,0.020179948224364017,-0.046840070253342914,0.15891346370201564,-0.07326053570776601,0.05708728606452907,-0.10102079124567695,0.14286462741083528,-0.1809717922187862,0.02517856353721494,-0.07200422902487656,-0.06467097275710873,-0.011600133580760593,0.10333277760137848,-0.04171901778060354
3,0.18254499536183225,0.3649243903366384,0.049361547877238475,0.07603021633980062,0.07621212607491853,-0.03278106753036442,0.16671072860821193,-0.00381817024260642,0.1601352587678985,-0.03868538602970385,0.13081102410114342,-0.07876085289391442,-0.08019707463091383,0.1744527932193906,-0.03669854254590366,0.06548690441944602,-0.008028596357732773,0.029301511805060746,0.14891960762288678,-0.1743943656584065
4,0.19791350226344936,0.3625046916100984,0.052248094381755796,0.08291791374562008,0.07144848028152206,-0.03516367452040501,0.14407336550444155,0.0030979076286662857,0.16323497790929803,-0.03463220670083894,0.12846912200569244,-0.08038755628068277,-0.09627592850058128,0.16273061268120678,-0.03292490590723421,0.06762586549203353,-0.010660104642447973,0.026023052408524046,0.1501041017535296,-0.16190317068186993
5,0.04747787990377378,0.1460569042046366,-0.041101735761459306,0.002230451035691633,0.11050415876060639,-0.26677338154241437,-0.011771804436708388,0.023498946416004682,0.0621241614588896,-0.09406837036575172,0.09007414005661275,-0.14004154391632898,0.1044079406289294,-0.26053791612478144,-0.035337070756366426,0.037507079140835405,-0.031752302658365865,0.012234804514180157,0.16363135136414628,-0.053894219875115744
6,0.10975187521564267,0.19206979394708354,-0.057987104282361514,-0.004133289782005637,0.005835281620035945,-0.14651277342610364,0.0436292753575378,-0.09409274617859814,0.003962408596021401,-0.10104674061495293,0.07623624901957601,-0.1948690714683487,0.06313904207425824,0.007857736822528614,-0.08436522701216312,-0.11242451893349695,-0.10360464550359536,-0.0334559282702502,0.0663511295855017,-0.1789337227142096
7,0.038162637487474595,0.2937744221713476,-0.022972216667014475,-0.011000767226316953,0.006302816462780922,-0.272844191142381,-0.006471831613692902,0.05125054113513654,-0.031857889629896226,-0.12929748986386094,0.011219306206588878,-0.18193115809072596,-0.05045532156343889,0.11618828679999456,-0.07065273510876621,0.0033513498908135588,-0.09007987637757872,-0.07743972590473058,-0.03389678893278225,-0.21433576613850608
8,0.12681140813776348,0.3084355448116788,0.02379730969754084,-0.004644108792663453,0.09460139723031386,-0.31598332084338576,-0.020947512902560014,-0.11762759308364286,0.1251515549583113,-0.11793299681789676,0.08216403088612886,-0.0322413758893404,-0.004640587209869326,0.027303790922249594,-0.01295143675369061,-0.06570355615556024,-0.09978819823365473,-0.02904863372186749,0.179035190537097,-0.11781776866822424
9,0.0623952702604191,0.19413752238315596,-0.0873119362693052,0.009202281628760012,0.06867537904896161,-0.1283204695887029,0.08418189472795103,0.12254697491470909,0.010820771282170407,-0.05518458209664229,0.05934554215468863,-0.14536787791521155,0.043296494429935516,-0.11244336334734646,-0.03390544536653018,-0.0179159020175217,-0.055258473719365105,0.02414972708553152,0.0630045499081221,-0.16212294470634883
