sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13,celltype_14,celltype_15,celltype_16,celltype_17,celltype_18,celltype_19
0,0.05882921933150945,0.21062183326440298,0.00882877856358906,0.015436729988687954,0.1824783754175271,-0.2923107452890201,0.036638459999595877,0.0859872510039286,-0.009962107823140085,-0.01257162721018836,0.03238298576403684,-0.17052531211116828,-0.14772942902935007,-0.0060492327511281665,-0.059742950627381566,-0.025338274724178062,0.1228887890308045,-0.019709837604191434,0.04666367897757243,-0.12241873541348912
1,0.11838611980024011,0.20584466796484158,-0.0026756406493660153,0.012405539094494369,0.16527800329837017,-0.3160429276221544,0.1521975251138288,0.001901510718171155,-0.014218047749728832,-0.042895457174053055,0.029798170129951007,-0.1564123191695766,0.025871167823139626,0.14288547141171257,-0.1125703992472697,0.028433804703357313,0.11050623981475056,-0.01920788147255368,-0.016905832880200776,-0.1862469536535666
2,0.12654616076021888,0.2354265784227814,0.0015642419960931392,-0.029545893045117518,0.17644710819298035,-0.31407841220833366,-0.0637076626755227,-0.07347265746305402,0.03968379427891134,0.035971637472620416,0.0768794779005507,-0.17385612876176357,-0.09535591967943914,-0.24628327660406274,-0.10757839404389734,0.017267377497130684,0.09607895688500298,-0.01989654972551276,0.24879367440153688,-0.12060534142692905
3,0.005634720729321803,0.21824422547403063,-0.00819479648973551,-0.00602143549385389,0.2144240065234484,-0.21885728916495278,0.14772783671308118,0.029035400844104144,0.008706094825391092,-0.0660803149402539,0.07875979195796039,-0.10787058522700296,0.23470546903979247,-0.1399765359726132,-0.09282706872015169,0.13213245373485352,0.14344244157631,-0.0018822008290728632,-0.08018533361429703,-0.12602560393429824
4,0.006711885574071682,0.21673738985821814,-0.009228714007924656,-0.0042825606617798865,0.21974200950589104,-0.23274676485351486,0.1523199026294054,0.03531004014485837,0.0026197121374008886,-0.07129590201944827,0.07871529823736993,-0.10866437559739511,0.2105863111371336,-0.10611630491758034,-0.09578751708356348,0.1381139204302527,0.14201445315729797,0.004321943989313114,-0.08369011613726124,-0.1381326975366775
5,0.0653814265804746,0.18699620316560106,0.0022688935371816903,-0.06258182191665089,0.21522737834245664,-0.3571511589471632,-0.007893729694059047,0.1056639460163454,0.030433555547414316,-0.0011300420468176896,0.02207017700252083,-0.20082751646249924,-0.294566047775368,0.18525688685856934,-0.10948660558532389,0.0301690629052904,0.1120518107465244,-0.0376727684467261,0.03519708517019477,-0.12320675990562177
6,0.10667016223923247,0.23814666509858115,0.03217748095009751,-0.010793302588737997,0.14735939089918476,-0.24140022346353648,-0.20637673158637967,-0.09012965017739293,-0.020651301643591007,-0.09677064397499122,0.033041664119036786,-0.19061217091975785,0.330888558384288,-0.3912616408522571,-0.10456945688239656,-0.04416556589829571,0.07926073420959923,-0.04697168206000767,-0.004755837346049436,-0.19651820892808725
7,0.10135131051374004,0.20239511834848362,-0.031502761686660226,-0.029055489364179992,0.18054031954271435,-0.3093548840304591,0.11401342377128489,0.028434952757183104,-0.0772775684251345,-0.06164057812715438,0.03386051403096862,-0.10355730122385781,-0.07785935966051852,-0.19231567189173968,-0.12172129895432461,-0.006157341989687991,0.09038628413994775,-0.04984231931137261,-0.03949869750995141,-0.1696580585463772
8,0.03909579473560607,0.20854084373130716,0.012842978719275736,-0.04553100788611181,0.22270205100317,-0.2999738452203866,-0.11401405219643376,0.0074957418461522665,0.005015538905862928,-0.022650100448859477,0.011969990216579959,-0.16604364744527422,0.06832566744493775,-0.11261141259221956,-0.08059670812938766,0.02645454697707528,0.07968523793266369,-0.03569074817404984,0.027221659379318953,-0.1546624801999824
9,-0.009126220239912454,0.2008299182990223,-0.008240556883899497,-0.031488635959572985,0.21423578560520076,-0.34226785249963,0.00850110768963139,-0.23337889341060727,-0.009092858302987013,0.020202247145019434,0.02416541011685435,-0.1558531101495778,-0.011532219202516675,-0.08974551226926082,-0.08202471743885395,-0.05520669569982195,0.08244388818578902,-0.02184738301737608,-0.014923030592438097,-0.16807987697141724
