sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13,celltype_14,celltype_15,celltype_16,celltype_17,celltype_18,celltype_19
0,0.18888795373257067,0.018946100397982585,-0.07905407651246364,-0.01581611226877466,-0.15293484475893218,0.08332796606760023,-0.060370544334493084,-0.055107839547558726,0.04821764245401308,-0.14855491942588936,0.015462798518383052,-0.011691305994614098,0.14386216316016362,-0.3162117094752805,0.08082011776245358,-0.0165052246021691,-0.14087897490528462,0.02706491909918315,0.12207152781405667,-0.02999159394812033
1,0.004385239202330721,0.04522556940706696,0.03835017971823747,-0.012198292562237317,-0.15862651425496246,0.14961294456732685,-0.14128553687804046,0.1435872989435934,0.06109686778413279,0.012191317017851096,-0.012353576771310923,-0.019516845721892606,0.00642845568378736,-0.019308490906292386,0.05460180286349035,-0.06338663227809765,-0.2165904198434787,-0.0007509929954778519,0.12269814079951197,0.008000326189734064
2,0.08463236619815928,0.08864951632362725,0.034273993856272444,0.014235259393406165,-0.13703391525710346,0.11333552192734744,0.08388761089988672,0.02663258720971111,0.11922966942310431,-0.10923217318038643,-0.019792191836021635,0.07283533751608662,0.2382205470902744,0.06531148438527654,0.13275695758111228,-0.08927160652200725,-0.1607499296421117,0.008296416144752168,-0.1454608968001584,0.07888632364632552
3,0.17691027463251044,0.1466801648626078,0.05755634436697399,0.08205165183365451,-0.13821188044852986,0.18607622163458837,0.01898289189513075,-0.03285357108671056,0.1514291639425074,0.02739492891055005,0.05205123214318304,0.029109732333088542,-0.3149025436707063,0.31442932919200384,0.056128526174248024,-0.0666455493154075,-0.15147103793404276,0.03118371263413361,0.2291049412371838,-0.048368761724108256
4,0.19120161668937768,0.14576730175188027,0.06147680838968045,0.08720047440739996,-0.14829352922436898,0.19758309033310986,-0.008246537124963843,-0.03221213251619209,0.16061526577189714,0.03666369531860933,0.049753823768322505,0.028276819316712345,-0.30686223963771486,0.2688469175987871,0.06286261117632927,-0.07048805493821916,-0.15267455779974592,0.021701108419210934,0.23379421789079083,-0.023770473145192428
5,-0.017903546676700827,-0.04093929896096446,-0.043370629298640995,0.06481227295234253,-0.10472321958185025,0.09037777740474884,-0.0038780747426493418,-0.08216499960034072,0.03169060591147528,-0.09293832831893403,0.06800396305409193,0.06078597254617027,0.3989739884042974,-0.4457948029833508,0.07414953482895746,0.007338016235545003,-0.14380411340489027,0.04990757296090626,0.1284342661939515,0.06931254003050602
6,0.003081712976410203,-0.04607687115149761,-0.09016458523245902,0.00666001280673236,-0.14152410927914882,0.09488745003743285,0.2500060069439175,-0.003963096001205216,0.02461371023961241,-0.004276096639961716,0.04319458490053923,-0.004256900548590847,-0.26774951631002974,0.3991193776747857,0.020204229870233445,-0.06825895303520124,-0.18286537971319458,0.013515753789757473,0.07110696693155114,0.017584486213877648
7,-0.06318867302626544,0.09137930382286397,0.00853054501964575,0.01805472213786304,-0.17423750307993344,0.03651069288807807,-0.12048525538497779,0.022815588377953434,0.045419678795238276,-0.06765691173670657,-0.02264120782437974,-0.07837385686686815,0.027404038097079628,0.30850395869173425,0.0510685638455584,0.00950869188050155,-0.18046616051752645,-0.027597406593357972,0.005601908577169155,-0.044677707592128885
8,0.08771561340215742,0.09989470108037163,0.010954330978265104,0.04088689909344835,-0.12810065377285615,-0.016009475622999148,0.09306653929387375,-0.12512333492979513,0.12013601605244836,-0.09528289636903728,0.0701940406695489,0.13380227155593383,-0.07296625465480708,0.13991520351446915,0.06764527137569705,-0.09215810313263552,-0.17947343616631842,0.006642114452182348,0.15181353115777804,0.03684471153175817
9,0.07152149050033155,-0.006692395915866345,-0.0790713793854057,0.040690917588333,-0.14556040655623914,0.21394738291092708,0.07568078703831964,0.35592586832531636,0.019913629585157418,-0.07538682924166172,0.03518013203783428,0.01048523223436626,0.05482871363245219,-0.02269785107808564,0.04811927207232377,0.03729079368230025,-0.1377023619051541,0.0459971101029076,0.0779275805005602,0.00595693226506841
