comparison,celltype_index,mean,hdi_lower,hdi_upper,credible
overweight,0,0.27706688308174754,0.2029401400798873,0.3520537000355398,True
overweight,1,0.08747124231082348,-0.7864897231038066,0.8629349822465012,False
overweight,2,-0.2884321970658391,-0.40269356964564906,-0.1725441825198642,True
overweight,3,0.021441225865120095,-0.013357168591458201,0.055851347247009984,False
overweight,4,0.35038293766281253,0.26109782865681364,0.44022186819142106,True
overweight,5,0.1116753073808128,0.05394117901065247,0.17012225646876838,True
overweight,6,0.045573953592682584,-0.06271778520762618,0.15499627449034836,False
overweight,7,0.0928974411383553,0.058727661535722064,0.12787477029934008,True
overweight,8,-0.09648220329099769,-0.17628143463291637,-0.01679324334495425,True
overweight,9,0.03597651119075969,-0.08903336516482943,0.1591164652406455,False
overweight,10,-0.07133942500669083,-0.19719155169089,0.06375329686200533,False
overweight,11,0.023762717773817527,-0.1959275465332304,0.2552922707285821,False
overweight,12,-0.17582522170631387,-0.9684696235110711,0.7160741801717027,False
overweight,13,-0.004900203144358091,-0.07291591237538553,0.06305523017102913,False
obese,0,0.2941084248380657,0.20819269005316896,0.3836018969608389,True
obese,1,0.09901416390746538,-0.7358043878440885,0.951449057540256,False
obese,2,-0.2238380370646309,-0.3781972892066787,-0.07224071171759551,True
obese,3,-0.0008005173211818693,-0.04970380053268551,0.04759891056513353,False
obese,4,0.09741031931250393,-0.046352114340513305,0.23278132386868325,False
obese,5,0.001667046101149123,-0.08071114516990488,0.08333246353850754,False
obese,6,0.04039023509096124,-0.14111689198464636,0.2132560061955542,False
obese,7,0.07069794538342766,0.021479223547375276,0.12027752504946054,True
obese,8,-0.09882523000307153,-0.2062451378918711,0.010120252799579812,False
obese,9,0.005741821539431527,-0.1450197674852702,0.15784410037699514,False
obese,10,-0.07529389787689396,-0.21223084710912996,0.05838700455177434,False
obese,11,0.1531745983755465,-0.1394592025355614,0.4366874995959878,False
obese,12,-0.1345031688070148,-0.9427003168880205,0.7235695849466997,False
obese,13,-0.06391825620718831,-0.1471655799018958,0.01906349208489194,False
obese_vs_overweight,0,0.01704154175631814,-0.08487420397168383,0.11817441983108957,False
obese_vs_overweight,1,0.0115429215966419,-1.1010566387469067,1.1964648116171843,False
obese_vs_overweight,2,0.06459416000120823,-0.11294488407635986,0.23368426705612164,False
obese_vs_overweight,3,-0.022241743186301965,-0.06998344324239826,0.026153499799202482,False
obese_vs_overweight,4,-0.2529726183503086,-0.40631620158414733,-0.10951559011468508,True
obese_vs_overweight,5,-0.11000826127966369,-0.19212061484608278,-0.027018079233245704,True
obese_vs_overweight,6,-0.005183718501721346,-0.20138498279164618,0.17975936467504683,False
obese_vs_overweight,7,-0.02219949575492761,-0.0714608860566913,0.026736469596497316,False
obese_vs_overweight,8,-0.0023430267120738415,-0.11697743696275267,0.11372441359927464,False
obese_vs_overweight,9,-0.03023468965132816,-0.2071380411410672,0.1506553721727721,False
obese_vs_overweight,10,-0.00395447287020313,-0.17468067251589195,0.16641265891791485,False
obese_vs_overweight,11,0.12941188060172898,-0.24977287284480612,0.49413212788401534,False
obese_vs_overweight,12,0.041322052899299064,-1.136245615766022,1.153080087985355,False
obese_vs_overweight,13,-0.059018053062830235,-0.14910654189877282,0.033543750719105696,False
