,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[2031],-0.804,0.062,-0.923,-0.692,0.001,0.001,12484.0,6623.0,1.0
mu[2032],0.187,0.061,0.073,0.299,0.001,0.001,12702.0,5838.0,1.0
mu[2033],0.184,0.061,0.067,0.294,0.001,0.001,12712.0,6170.0,1.0
mu[2034],0.068,0.071,-0.066,0.202,0.001,0.001,12606.0,6872.0,1.0
mu[2035],-0.192,0.061,-0.305,-0.079,0.0,0.001,17850.0,6303.0,1.0
mu[2036],-0.22,0.061,-0.334,-0.105,0.0,0.001,17017.0,6211.0,1.0
mu[2037],0.034,0.061,-0.081,0.148,0.001,0.001,13313.0,6204.0,1.0
mu[2038],0.005,0.061,-0.109,0.117,0.001,0.001,13198.0,5949.0,1.0
mu[2039],0.048,0.061,-0.068,0.16,0.001,0.001,13333.0,5553.0,1.0
mu[2040],-0.361,0.06,-0.473,-0.247,0.0,0.001,16205.0,5986.0,1.0
mu[2041],-0.228,0.06,-0.341,-0.115,0.0,0.001,18171.0,6054.0,1.0
mu[2042],0.225,0.06,0.115,0.338,0.001,0.001,12940.0,5928.0,1.0
mu[2043],0.235,0.061,0.123,0.351,0.001,0.001,14310.0,5536.0,1.0
mu[2044],0.095,0.07,-0.039,0.226,0.001,0.001,12512.0,7205.0,1.0
mu[2045],0.124,0.061,0.008,0.239,0.001,0.001,14170.0,5845.0,1.0
mu[2046],-0.162,0.061,-0.273,-0.047,0.001,0.001,12956.0,5807.0,1.0
mu[2047],0.08,0.061,-0.03,0.199,0.001,0.001,13058.0,5908.0,1.0
mu[2048],-0.132,0.061,-0.245,-0.014,0.001,0.001,12968.0,6097.0,1.0
mu[2049],-0.42,0.06,-0.53,-0.304,0.0,0.001,15618.0,5428.0,1.0
mu[2050],-0.085,0.072,-0.215,0.053,0.001,0.001,13172.0,7057.0,1.0
mu[2051],-0.24,0.061,-0.354,-0.126,0.0,0.001,17547.0,6279.0,1.0
mu[2052],0.065,0.06,-0.045,0.183,0.001,0.001,14162.0,6224.0,1.0
mu[2053],0.051,0.062,-0.07,0.162,0.001,0.001,14152.0,5730.0,1.0
mu[2054],0.095,0.061,-0.016,0.21,0.001,0.001,14270.0,5877.0,1.0
mu[2055],0.264,0.072,0.13,0.399,0.001,0.001,12457.0,6842.0,1.0
mu[2056],0.189,0.06,0.072,0.297,0.001,0.001,13348.0,6183.0,1.0
mu[2057],-0.245,0.061,-0.359,-0.135,0.001,0.001,12164.0,6089.0,1.0
mu[2058],0.168,0.072,0.031,0.3,0.001,0.001,13565.0,7110.0,1.0
mu[2059],-0.08,0.061,-0.193,0.031,0.001,0.001,13538.0,6282.0,1.0
mu[2060],0.021,0.061,-0.092,0.133,0.001,0.001,13934.0,6592.0,1.0
mu[2061],-0.006,0.061,-0.124,0.104,0.001,0.001,12521.0,5771.0,1.0
mu[2062],-0.075,0.07,-0.208,0.057,0.001,0.001,12241.0,7037.0,1.0
mu[2063],-0.027,0.059,-0.143,0.081,0.0,0.001,15220.0,6028.0,1.0
mu[2064],-0.575,0.061,-0.689,-0.461,0.0,0.001,15861.0,6056.0,1.0
mu[2065],0.686,0.061,0.574,0.801,0.001,0.001,11138.0,6455.0,1.0
mu[2066],0.247,0.061,0.138,0.365,0.001,0.001,14204.0,6253.0,1.0
mu[2067],-0.136,0.06,-0.249,-0.021,0.0,0.001,16497.0,6345.0,1.0
mu[2068],-0.183,0.06,-0.296,-0.074,0.0,0.001,15889.0,6436.0,1.0
mu[2069],-0.117,0.06,-0.229,-0.006,0.0,0.001,15641.0,5863.0,1.0
mu[2070],-0.176,0.059,-0.286,-0.065,0.0,0.001,17418.0,6452.0,1.0
mu[2071],0.048,0.061,-0.067,0.16,0.001,0.001,12181.0,6483.0,1.0
mu[2072],0.014,0.061,-0.101,0.125,0.001,0.001,13515.0,6176.0,1.0
mu[2073],-0.069,0.071,-0.2,0.068,0.001,0.001,12083.0,6743.0,1.0
mu[2074],-0.137,0.061,-0.253,-0.022,0.0,0.001,16757.0,6158.0,1.0
mu[2075],0.239,0.061,0.13,0.354,0.001,0.001,13527.0,6325.0,1.0
mu[2076],-0.21,0.061,-0.326,-0.101,0.0,0.001,17002.0,6336.0,1.0
mu[2077],0.132,0.071,-0.003,0.265,0.001,0.001,12852.0,6985.0,1.0
mu[2078],0.099,0.061,-0.019,0.209,0.001,0.001,13489.0,6273.0,1.0
mu[2079],0.076,0.061,-0.036,0.19,0.001,0.001,13859.0,6681.0,1.0
mu[2080],-0.121,0.061,-0.234,-0.005,0.001,0.001,13077.0,6193.0,1.0
mu[2081],-0.258,0.06,-0.371,-0.147,0.0,0.001,17108.0,6187.0,1.0
mu[2082],-0.334,0.06,-0.449,-0.224,0.0,0.001,17928.0,6403.0,1.0
mu[2083],0.043,0.071,-0.095,0.173,0.001,0.001,12363.0,6694.0,1.0
mu[2084],-0.222,0.061,-0.341,-0.111,0.001,0.001,12381.0,6329.0,1.0
mu[2085],0.228,0.061,0.117,0.345,0.001,0.001,12855.0,6034.0,1.0
mu[2086],0.213,0.061,0.09,0.322,0.001,0.001,14101.0,6009.0,1.0
mu[2087],-0.143,0.06,-0.251,-0.027,0.0,0.001,16136.0,6613.0,1.0
mu[2088],-0.082,0.06,-0.199,0.024,0.0,0.001,15690.0,6273.0,1.0
mu[2089],0.002,0.061,-0.114,0.113,0.001,0.001,14048.0,6368.0,1.0
mu[2090],-0.086,0.059,-0.192,0.026,0.0,0.001,16395.0,6197.0,1.0
mu[2091],-0.316,0.061,-0.428,-0.203,0.0,0.001,16652.0,6428.0,1.0
mu[2092],-0.125,0.061,-0.239,-0.012,0.001,0.001,12796.0,6091.0,1.0
mu[2093],-0.454,0.059,-0.567,-0.345,0.0,0.001,16970.0,5948.0,1.0
mu[2094],0.072,0.071,-0.059,0.207,0.001,0.001,12644.0,6917.0,1.0
mu[2095],-0.267,0.059,-0.384,-0.161,0.0,0.001,17614.0,5933.0,1.0
mu[2096],0.397,0.072,0.259,0.526,0.001,0.001,11860.0,6866.0,1.0
mu[2097],0.114,0.061,0.002,0.227,0.001,0.001,14123.0,6014.0,1.0
mu[2098],-0.02,0.061,-0.138,0.09,0.001,0.001,13410.0,5888.0,1.0
mu[2099],0.426,0.061,0.318,0.544,0.001,0.001,12937.0,6394.0,1.0
mu[2100],0.32,0.06,0.209,0.435,0.001,0.001,12966.0,6010.0,1.0
mu[2101],0.057,0.062,-0.058,0.172,0.001,0.001,13764.0,6022.0,1.0
mu[2102],0.089,0.062,-0.032,0.198,0.001,0.001,13232.0,5668.0,1.0
mu[2103],0.395,0.07,0.257,0.523,0.001,0.001,11630.0,6862.0,1.0
mu[2104],-0.192,0.06,-0.304,-0.074,0.0,0.001,16283.0,5980.0,1.0
mu[2105],-0.547,0.059,-0.661,-0.438,0.0,0.001,15552.0,6590.0,1.0
mu[2106],0.032,0.061,-0.079,0.149,0.001,0.001,12739.0,6135.0,1.0
mu[2107],0.05,0.061,-0.064,0.164,0.001,0.001,12872.0,5853.0,1.0
mu[2108],0.301,0.061,0.178,0.409,0.001,0.001,12032.0,5993.0,1.0
mu[2109],0.27,0.061,0.156,0.383,0.001,0.001,12997.0,5998.0,1.0
mu[2110],0.056,0.06,-0.056,0.168,0.0,0.001,16220.0,6346.0,1.0
mu[2111],0.488,0.061,0.365,0.594,0.001,0.001,13027.0,5722.0,1.0
mu[2112],-0.295,0.06,-0.409,-0.182,0.0,0.001,17993.0,5927.0,1.0
mu[2113],0.081,0.059,-0.028,0.192,0.0,0.001,15580.0,6031.0,1.0
mu[2114],0.422,0.061,0.307,0.534,0.001,0.001,12771.0,6303.0,1.0
mu[2115],-0.419,0.06,-0.529,-0.305,0.0,0.001,15547.0,6537.0,1.0
mu[2116],-0.119,0.071,-0.254,0.014,0.001,0.001,12791.0,6861.0,1.0
mu[2117],-0.096,0.072,-0.231,0.038,0.001,0.001,12416.0,6847.0,1.0
mu[2118],-0.109,0.059,-0.217,0.005,0.0,0.001,16213.0,5711.0,1.0
mu[2119],0.56,0.06,0.445,0.67,0.001,0.001,13209.0,6228.0,1.0
mu[2120],0.324,0.061,0.205,0.432,0.001,0.001,13447.0,6625.0,1.0
mu[2121],0.222,0.06,0.115,0.34,0.001,0.001,13144.0,5465.0,1.0
mu[2122],-0.193,0.06,-0.308,-0.083,0.0,0.001,17692.0,6821.0,1.0
mu[2123],-0.048,0.06,-0.162,0.063,0.0,0.001,15627.0,6801.0,1.0
mu[2124],0.183,0.072,0.051,0.319,0.001,0.001,13031.0,7235.0,1.0
mu[2125],0.226,0.061,0.111,0.337,0.001,0.001,12739.0,6045.0,1.0
