celltype_index,mean,median,std,hdi_lower,hdi_upper,credible
0,-0.13103439123175525,-0.1318887438391391,0.028841021748899503,-0.1845124912334124,-0.06995720098205836,True
1,0.023707444569139022,0.0238400816826098,0.03391274232121186,-0.043676522129816826,0.09219293210228809,False
2,0.042588115726500175,0.0428017288028789,0.011154129451514921,0.0201584379542051,0.0641565761116622,True
3,0.032609940323733225,0.03253338616837324,0.01319246536928346,0.006642445685995154,0.05854534123396442,True
4,-0.0007383823140713202,-0.0008249435671431303,0.011498903747694338,-0.023306952784141667,0.021561410103415,False
5,0.014358343698514681,0.01638655717512119,0.07429276035433363,-0.14993830721229381,0.17175327075855787,False
6,-0.01188572939458013,-0.012937034204950562,0.07372606703645732,-0.1699556777667156,0.1487111257791909,False
7,0.03439764410160171,0.041039712737889096,0.1272746367913114,-0.24612534735814615,0.2885275484000718,False
8,0.022613153210415914,0.024278314354864258,0.07940383844297286,-0.1602605829015035,0.18716811149028614,False
9,0.0204432592772204,0.02050378532539101,0.011907903992350564,-0.0025712123448198136,0.04413307337366352,False
10,0.01590978811763942,0.016053928668715092,0.011196254650532532,-0.0059135020317989916,0.03810751967550792,False
11,-0.010692179569626925,-0.011033268425772383,0.024685439034266184,-0.057684720419304815,0.037347930464688185,False
12,0.027613192062311234,0.02775074218586325,0.010582093278931136,0.006781727004207198,0.04823718706663399,True
13,0.010144871848463558,0.009898045176546393,0.025644666483331136,-0.03991497153765186,0.060824971373382004,False
