celltype_idx,celltype_name
0,ACINAR
1,ADIPOCYTES
2,FIBROBLASTS
3,ICAF
4,ISLET ENDOCRINE
5,MAST
6,MYCAF
7,NEURAL
8,NORMAL DUCTAL
9,PERICYTES SMC
10,SCHWANN
11,STELLATE
12,TUMOR CLASSICAL
13,TUMOR EPITHELIAL
