sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13
0,-0.15605627086144377,0.04503930691297168,0.023817800249130956,0.014206374309802202,-0.01527666396944327,0.015187326524583001,0.05341907364212539,0.12644851860234266,-0.09428384233997524,-0.008566483069143862,-0.0037243041089946908,-0.02223015689132123,0.00849952143344675,-0.02490812986257536
1,-0.15407555700547282,-0.023627046081253236,0.02299443834795096,0.018973857816625705,-0.02475217280819188,0.003578230086005953,-0.12215011046258582,0.0752240019855778,-0.0434076101872695,0.0013750061528842762,0.005901291210504055,-0.03928394233068026,0.010719626803201565,-0.020521293774208353
2,-0.1550071019371492,-0.006679120431670528,0.03403446671536795,0.020578980975085502,-0.01618187181775404,0.01552274585599962,0.009640560120544539,0.053896447252093846,0.10423988781736088,0.005536073516821635,0.0032341005370148833,-0.02337613417093691,0.020893990959021735,0.010634724646486378
3,-0.128202647425536,0.03433623773449808,0.02860384597138481,0.021360209091021688,-0.01822947838642196,0.0047018103456874134,-0.0018522064586879593,0.04491561554273491,0.06532018729857127,0.002125332404905554,0.00016851039243977864,-0.016415416224818145,0.015728630216784105,-0.024882930438924422
4,-0.12600949624540353,0.0012948383675867145,0.033286600834033536,0.009764451710899617,-0.006264291429158713,-0.03879836682606957,0.08417812710406641,-0.043277811909749206,0.005732647572085333,0.0006055790146140511,0.006767694038836111,-0.019849369098584868,0.02414154175489878,0.0026620907579550514
5,-0.13727136716240534,0.01265828929610623,0.040345351492586466,0.0373601044898881,-0.0039312541757578435,0.04944372613687837,0.012255990919815994,-0.022476300492569816,-0.11234479478428093,0.015610723483317676,0.0028623219550969483,-0.02538848897222048,0.025150812009110773,-0.012727030083463717
6,-0.15134637330175751,0.01969694816639661,0.03709411933997322,0.02632083597472713,-0.000569607239500042,-0.04523074088475281,0.009574914498927445,0.3445494182299444,-0.12297865967356124,0.02198254996403591,0.02456829762977203,-0.024333356638780015,0.03819459064010057,0.022118270103384918
7,-0.11978526962562104,0.03626104631612767,0.04999991612665651,0.03668384375721065,0.00659839688332716,0.08064247148125481,0.019159907061608254,0.07552610571867403,-0.06502313231486424,0.021314467216739633,0.010747256839397137,-0.0004871270030466497,0.02818820149870265,0.029379325280536116
8,-0.12942846740402375,0.004433317942547799,0.05469185230027584,0.030784413922478625,-0.0020170421877991293,0.009190705312233129,-0.11409462996605485,0.14359105926598736,-0.18948245936481775,0.02646877749340071,0.019833672385667366,-0.005840325518125226,0.03098759017711011,0.028287755598285322
9,-0.16149789805100706,0.05961081032880711,0.04114401096019756,0.03818640517778133,-0.012908498151332133,0.11874502730135542,-0.03570354543495101,-0.09546089110712537,-0.009734897184014348,0.013522115963064732,0.014388153833000315,0.007714753021301576,0.028395006693211187,0.00808635426416944
10,-0.1686446378837957,-0.02325342109557356,0.02954926602051353,0.01699317116811146,-0.018160045640749405,0.005472319611156612,-0.08275887134492924,0.04144945520800345,0.028489378154918053,0.014035881123021642,-0.00018426190725840357,-0.008248924563955986,0.024749682231794398,-0.008234737291559779
11,-0.14637605763847616,0.051442191545100116,0.025309669739877597,0.03166658032439405,-0.006450155758931198,0.024305550844727467,-0.060922918020346196,0.0803391104645547,0.025342271721598735,0.0015339978641701172,0.01272472260609902,-0.018038229534596648,0.008265470175517332,0.021275723928589136
12,-0.13119319795029308,-0.0019162159819605669,0.0510658241781001,0.02400095628430118,-0.014909271218818866,-0.061266563576795045,0.026533363746599863,0.27395353180400583,0.027018347343746408,-0.0010974140106567633,-0.0027607271983455923,-0.014625999381504148,0.027152957868461804,0.026259973248363027
13,-0.15731695074692936,-0.007914456509067245,0.019209314834689583,0.01845523556646052,-0.006662025870540443,0.008808247699881354,-0.02163963691346497,0.046933315261012076,0.020392040949895242,0.013295713547243316,0.010120922568956775,-0.018663122707688808,0.009265710407287603,0.01841527617862387
14,-0.16709997477786784,-0.015882510827538332,0.011266133143180847,0.0054883065686894454,-0.018974478045423147,0.001989271543741556,0.07820230042496791,-0.0680414457174658,0.016607963713855294,-0.000756057260457434,-0.000526937269723198,-0.03777721473531866,0.000931752974859476,0.011605009459624857
15,-0.14466686931582887,-0.018397514487846458,0.024144044332664226,0.009797445605626919,-0.027366940327858833,-0.001397328270999144,-0.11469899941134148,0.00917288170730491,0.004645201786826799,-0.01358898708203871,-0.016219742199453588,-0.05035286021641358,0.0006019632195240404,-0.020973032062289825
16,-0.175856652918561,-0.026301570507505208,0.009453876038704529,-0.0025203060560377794,-0.027358940662235674,-0.04573215400373668,-0.09708638556865888,-0.00900755163654575,0.017595158069781992,-0.003289325509552944,-0.01751570194896433,-0.028457538097953924,-0.0002714758322871839,-0.022529134500224805
