,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[15357],-0.044,0.044,-0.124,0.042,0.0,0.001,19731.0,5771.0,1.0
mu[15358],-0.196,0.05,-0.295,-0.105,0.0,0.001,16020.0,5791.0,1.0
mu[15359],0.043,0.045,-0.042,0.129,0.0,0.001,19252.0,5543.0,1.0
mu[15360],-0.082,0.044,-0.163,0.002,0.0,0.001,18480.0,5714.0,1.0
mu[15361],-0.114,0.045,-0.2,-0.031,0.0,0.001,17033.0,5567.0,1.0
mu[15362],-0.094,0.053,-0.19,0.009,0.0,0.001,15673.0,6666.0,1.0
mu[15363],-0.056,0.045,-0.137,0.031,0.0,0.001,15497.0,5687.0,1.0
mu[15364],0.036,0.045,-0.046,0.124,0.0,0.001,16994.0,5752.0,1.0
mu[15365],0.084,0.057,-0.021,0.194,0.0,0.001,14438.0,6964.0,1.0
mu[15366],-0.12,0.047,-0.21,-0.034,0.0,0.001,17459.0,6081.0,1.0
mu[15367],-0.041,0.046,-0.125,0.046,0.0,0.001,17495.0,5480.0,1.0
mu[15368],0.042,0.045,-0.042,0.127,0.0,0.001,17014.0,5592.0,1.0
mu[15369],-0.12,0.063,-0.24,-0.004,0.001,0.001,13016.0,6832.0,1.0
mu[15370],-0.015,0.046,-0.102,0.068,0.0,0.001,18896.0,5453.0,1.0
mu[15371],-0.028,0.049,-0.118,0.064,0.0,0.001,17290.0,6032.0,1.0
mu[15372],0.005,0.045,-0.076,0.092,0.0,0.001,19043.0,5804.0,1.0
mu[15373],-0.049,0.045,-0.137,0.034,0.0,0.001,18470.0,4780.0,1.0
mu[15374],-0.123,0.046,-0.213,-0.039,0.0,0.001,16989.0,6109.0,1.0
mu[15375],-0.016,0.049,-0.108,0.076,0.0,0.001,15516.0,5163.0,1.0
mu[15376],-0.028,0.056,-0.136,0.075,0.0,0.001,13570.0,6449.0,1.0
mu[15377],-0.018,0.048,-0.111,0.069,0.0,0.001,15908.0,5902.0,1.0
mu[15378],-0.132,0.048,-0.219,-0.04,0.0,0.001,16749.0,5733.0,1.0
mu[15379],-0.108,0.115,-0.339,0.096,0.001,0.001,10446.0,7303.0,1.0
mu[15380],0.013,0.045,-0.07,0.097,0.0,0.001,18346.0,6163.0,1.0
mu[15381],-0.069,0.044,-0.15,0.017,0.0,0.001,17339.0,6025.0,1.0
mu[15382],0.129,0.044,0.051,0.215,0.0,0.001,19915.0,5917.0,1.0
mu[15383],-0.068,0.045,-0.151,0.017,0.0,0.001,18187.0,5526.0,1.0
mu[15384],-0.08,0.052,-0.173,0.019,0.0,0.001,15564.0,6056.0,1.0
mu[15385],-0.09,0.056,-0.197,0.015,0.0,0.001,14815.0,6537.0,1.0
mu[15386],0.01,0.052,-0.084,0.11,0.0,0.001,13669.0,6650.0,1.0
mu[15387],-0.057,0.045,-0.14,0.029,0.0,0.001,17632.0,6256.0,1.0
mu[15388],0.179,0.044,0.1,0.265,0.0,0.001,19424.0,6013.0,1.0
mu[15389],0.103,0.046,0.02,0.191,0.0,0.001,16966.0,6080.0,1.0
mu[15390],-0.016,0.077,-0.157,0.134,0.001,0.001,12115.0,7401.0,1.0
mu[15391],0.035,0.044,-0.047,0.118,0.0,0.001,20217.0,5653.0,1.0
mu[15392],-0.112,0.046,-0.199,-0.028,0.0,0.001,16963.0,5911.0,1.0
mu[15393],-0.074,0.052,-0.176,0.02,0.0,0.001,15283.0,6490.0,1.0
mu[15394],-0.11,0.046,-0.196,-0.028,0.0,0.001,18880.0,6158.0,1.0
mu[15395],-0.069,0.045,-0.155,0.013,0.0,0.001,18524.0,5121.0,1.0
mu[15396],0.127,0.044,0.045,0.211,0.0,0.001,17179.0,5222.0,1.0
mu[15397],-0.124,0.055,-0.228,-0.022,0.0,0.001,15207.0,6665.0,1.0
mu[15398],-0.006,0.05,-0.1,0.089,0.0,0.001,14349.0,6000.0,1.0
mu[15399],-0.046,0.047,-0.135,0.04,0.0,0.001,15948.0,5470.0,1.0
mu[15400],0.082,0.045,-0.006,0.16,0.0,0.001,17492.0,5692.0,1.0
mu[15401],0.036,0.044,-0.047,0.117,0.0,0.001,16578.0,5416.0,1.0
mu[15402],0.066,0.049,-0.023,0.159,0.0,0.001,16180.0,6458.0,1.0
mu[15403],0.005,0.045,-0.081,0.088,0.0,0.001,16053.0,5652.0,1.0
mu[15404],0.156,0.054,0.055,0.256,0.0,0.001,13689.0,6345.0,1.0
mu[15405],-0.034,0.05,-0.131,0.058,0.0,0.001,15071.0,5708.0,1.0
mu[15406],0.318,0.045,0.236,0.403,0.0,0.001,17872.0,6062.0,1.0
mu[15407],-0.068,0.045,-0.152,0.016,0.0,0.001,17755.0,5944.0,1.0
mu[15408],-0.126,0.059,-0.241,-0.019,0.001,0.001,13647.0,7262.0,1.0
mu[15409],-0.053,0.05,-0.145,0.042,0.0,0.001,15757.0,5544.0,1.0
mu[15410],-0.068,0.047,-0.156,0.021,0.0,0.001,15895.0,5959.0,1.0
mu[15411],-0.024,0.058,-0.126,0.091,0.0,0.001,13770.0,6122.0,1.0
mu[15412],0.107,0.074,-0.034,0.243,0.001,0.001,11881.0,7483.0,1.0
mu[15413],-0.033,0.046,-0.118,0.052,0.0,0.001,17145.0,5826.0,1.0
mu[15414],-0.053,0.044,-0.137,0.03,0.0,0.001,17954.0,5570.0,1.0
mu[15415],-0.078,0.044,-0.161,0.005,0.0,0.001,19347.0,5278.0,1.0
mu[15416],-0.086,0.046,-0.17,0.002,0.0,0.001,18297.0,5728.0,1.0
mu[15417],-0.03,0.055,-0.128,0.077,0.0,0.001,14235.0,6752.0,1.0
mu[15418],-0.059,0.065,-0.178,0.065,0.001,0.001,12733.0,7150.0,1.0
mu[15419],-0.126,0.043,-0.208,-0.045,0.0,0.001,16888.0,5726.0,1.0
mu[15420],-0.029,0.044,-0.113,0.052,0.0,0.001,17187.0,5600.0,1.0
mu[15421],0.328,0.044,0.246,0.411,0.0,0.001,18108.0,5486.0,1.0
mu[15422],-0.062,0.054,-0.166,0.037,0.0,0.001,13918.0,6793.0,1.0
mu[15423],0.134,0.047,0.046,0.221,0.0,0.001,15646.0,6093.0,1.0
mu[15424],-0.055,0.046,-0.141,0.03,0.0,0.001,17477.0,5725.0,1.0
mu[15425],-0.072,0.046,-0.158,0.015,0.0,0.001,17340.0,5939.0,1.0
mu[15426],-0.116,0.048,-0.204,-0.025,0.0,0.001,16040.0,5895.0,1.0
mu[15427],-0.163,0.048,-0.25,-0.071,0.0,0.001,16645.0,6314.0,1.0
mu[15428],-0.125,0.044,-0.205,-0.04,0.0,0.001,19658.0,5838.0,1.0
mu[15429],-0.07,0.049,-0.164,0.019,0.0,0.001,15185.0,6140.0,1.0
mu[15430],0.028,0.054,-0.073,0.132,0.0,0.001,13448.0,6648.0,1.0
mu[15431],-0.017,0.054,-0.119,0.081,0.0,0.001,14023.0,6416.0,1.0
mu[15432],-0.067,0.045,-0.15,0.018,0.0,0.001,18533.0,5975.0,1.0
mu[15433],0.105,0.045,0.02,0.19,0.0,0.001,18919.0,5865.0,1.0
mu[15434],0.013,0.043,-0.07,0.092,0.0,0.001,15413.0,5755.0,1.0
mu[15435],0.133,0.047,0.041,0.215,0.0,0.001,17058.0,6213.0,1.0
mu[15436],0.0,0.043,-0.079,0.086,0.0,0.001,16042.0,6260.0,1.0
mu[15437],-0.17,0.045,-0.255,-0.088,0.0,0.001,18913.0,5321.0,1.0
mu[15438],0.057,0.054,-0.04,0.163,0.0,0.001,14174.0,6384.0,1.0
mu[15439],0.072,0.049,-0.02,0.162,0.0,0.001,16196.0,6404.0,1.0
mu[15440],-0.05,0.048,-0.142,0.039,0.0,0.001,15583.0,6030.0,1.0
mu[15441],-0.042,0.044,-0.125,0.041,0.0,0.001,17668.0,5416.0,1.0
mu[15442],0.004,0.044,-0.075,0.089,0.0,0.001,18951.0,5452.0,1.0
mu[15443],-0.029,0.045,-0.114,0.055,0.0,0.001,18825.0,5446.0,1.0
mu[15444],-0.023,0.045,-0.104,0.062,0.0,0.001,17974.0,5110.0,1.0
mu[15445],0.029,0.047,-0.058,0.118,0.0,0.001,16573.0,5660.0,1.0
mu[15446],-0.006,0.045,-0.089,0.079,0.0,0.001,18118.0,5359.0,1.0
mu[15447],0.032,0.055,-0.07,0.136,0.0,0.001,13628.0,6402.0,1.0
mu[15448],0.073,0.049,-0.021,0.163,0.0,0.001,16075.0,6021.0,1.0
mu[15449],0.086,0.044,0.002,0.169,0.0,0.001,19017.0,5303.0,1.0
mu[15450],-0.048,0.051,-0.14,0.049,0.0,0.001,14563.0,6029.0,1.0
mu[15451],-0.073,0.048,-0.163,0.018,0.0,0.001,15764.0,6318.0,1.0
mu[15452],-0.026,0.052,-0.121,0.072,0.0,0.001,15419.0,6213.0,1.0
mu[15453],0.025,0.046,-0.063,0.109,0.0,0.001,16847.0,5232.0,1.0
mu[15454],0.204,0.046,0.118,0.289,0.0,0.001,17085.0,5912.0,1.0
mu[15455],0.351,0.045,0.26,0.428,0.0,0.001,17201.0,6114.0,1.0
mu[15456],0.097,0.045,0.008,0.178,0.0,0.001,16386.0,6215.0,1.0
mu[15457],0.045,0.055,-0.056,0.15,0.0,0.001,13872.0,6728.0,1.0
mu[15458],0.04,0.055,-0.058,0.149,0.0,0.001,14783.0,6107.0,1.0
mu[15459],-0.063,0.077,-0.212,0.078,0.001,0.001,12425.0,7130.0,1.0
