sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7
0,0.10928161189513304,1.0087702589025033e-06,-0.11305248467526519,0.03527290913988433,-0.04919813146152365,-0.03578346936384837,-0.03202729476736506,0.05682404461531373
1,0.10266454808916166,-0.026526855487674843,-0.10933471267496622,0.05362788737216378,-0.03257559012263995,-0.038197070520979017,-0.03656737740363849,0.05143700672932459
2,0.09673509463447502,-0.030126954857375706,-0.1152139301135804,0.05493148627352463,-0.06373064268681457,-0.05881608138009673,-0.04220918635579864,0.044469307209321435
3,0.10425978993341929,-0.011217707516500428,-0.09717998598964271,0.07787940884950115,-0.04173773887401943,-0.04135380048078913,-0.0184893789613548,0.06390895394966312
4,0.13654110148917425,0.0024120672178968867,-0.09744274664516085,0.06750839709947548,-0.03925816114653838,-0.04802960795142899,-0.01573012328663473,0.0343975709660557
5,0.13497999923273118,-0.00010602045617191017,-0.10151197054668683,0.05296954186938988,-0.03375821534538829,-0.049465870980911035,-0.017980951423722198,0.05319339403665148
6,0.12669949663842817,0.014189493675301973,-0.09276247641173918,0.07847750136245538,-0.03271377717970707,-0.04197906718966401,-0.01937172147983705,0.03903277446933429
7,0.127142173981142,0.009839340162907894,-0.09623633099437712,0.06752389897192324,-0.031211941996550117,-0.04543947053351388,-0.032995899218167216,0.06329191856642313
8,0.09688768392872164,-0.04134814446642664,-0.13059442193714388,0.029770170686002007,-0.06942310338968002,-0.03963443087214039,-0.03825704496878269,0.019728211529829363
9,0.10517509183389098,-0.03166330049327465,-0.13466209713593177,0.03103473680842707,-0.05999150111308288,-0.0402923663036363,-0.034695177570901674,0.029144806554644586
10,0.1046503621987949,-0.004766637292593657,-0.10352346475789287,0.05910247144115501,-0.04688455257172104,-0.04991621444976408,-0.03810785786693325,0.063924477753331
11,0.1146500633624236,-0.008782371972500333,-0.10914568635836851,0.04419888437450509,-0.05461455414251144,-0.023916098877527655,-0.03446882901221979,0.040050924385661775
12,0.11813551665446094,-0.014603561900642319,-0.10521201600564412,0.04678910449403917,-0.057120604666743895,-0.022590005898453572,-0.03277497247396083,0.03698097394687481
13,0.12936663270479445,0.004279286482679307,-0.10834552123256848,0.06909188968498636,-0.02536436384214701,-0.04863748100399391,-0.020238263728511154,0.06799254756548452
14,0.1447670382467077,0.016184925553314248,-0.08576008582850414,0.09071063671070649,-0.01080758188139501,-0.032665795545996947,0.0013070879053969095,0.07105372601671693
15,0.1524399832595016,0.034171944429525085,-0.08092744654071402,0.0954839007665691,-0.015895061097198314,-0.024853191642350617,0.006382433687504799,0.08399570606670367
16,0.14275577082106755,0.02410194305122443,-0.08155200237111881,0.0975344898798578,-0.019886742083432635,-0.01764719899052027,-0.010138286221869726,0.08243530004772781
17,0.12531897038319315,0.01700097038796827,-0.07715422941901262,0.07197322979375213,-0.007447600814075713,-0.009808420549742862,0.013703432659464084,0.07134032316852384
18,0.14491429524255137,0.02604657663882931,-0.08967477455555069,0.06504265544790075,-0.013809573315137044,-0.017753082009166206,0.0004770103118056999,0.08124250786911255
