celltype_name,mean,sd,r_hat,ess_bulk,ess_tail
B CELLS,0.139,0.027,1.01,394.0,721.0
BASOPHILS,0.011,0.027,1.0,408.0,790.0
CD4+ T CELLS,-0.089,0.027,1.0,396.0,758.0
CD8 T GENERAL,0.075,0.027,1.01,403.0,703.0
DENDRITIC CELLS,-0.025,0.027,1.01,387.0,677.0
MONOCYTES,-0.019,0.027,1.01,393.0,674.0
NK CELLS,-0.012,0.027,1.01,389.0,713.0
T CELLS,0.068,0.027,1.01,402.0,735.0
