,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[873],-0.03,0.054,-0.137,0.069,0.0,0.001,16880.0,6193.0,1.0
mu[874],-0.026,0.056,-0.131,0.081,0.0,0.001,17114.0,6313.0,1.0
mu[875],-0.025,0.059,-0.135,0.086,0.0,0.001,16514.0,6372.0,1.0
mu[876],-0.027,0.053,-0.126,0.072,0.0,0.001,17874.0,6017.0,1.0
mu[877],-0.028,0.052,-0.128,0.069,0.0,0.001,17859.0,5970.0,1.0
mu[878],-0.027,0.054,-0.133,0.07,0.0,0.001,17603.0,5975.0,1.0
mu[879],-0.027,0.053,-0.126,0.072,0.0,0.001,17874.0,6017.0,1.0
mu[880],-0.031,0.06,-0.148,0.08,0.0,0.001,15194.0,6202.0,1.0
mu[881],-0.026,0.055,-0.133,0.075,0.0,0.001,17300.0,6111.0,1.0
mu[882],-0.027,0.053,-0.128,0.071,0.0,0.001,17847.0,5924.0,1.0
mu[883],-0.03,0.054,-0.128,0.076,0.0,0.001,17021.0,6143.0,1.0
mu[884],-0.024,0.066,-0.142,0.106,0.001,0.001,15624.0,6660.0,1.0
mu[885],-0.026,0.055,-0.131,0.075,0.0,0.001,17445.0,6122.0,1.0
mu[886],-0.027,0.053,-0.134,0.068,0.0,0.001,17749.0,6047.0,1.0
mu[887],-0.023,0.072,-0.161,0.113,0.001,0.001,14731.0,6657.0,1.0
mu[888],-0.026,0.056,-0.131,0.081,0.0,0.001,17114.0,6313.0,1.0
mu[889],-0.015,0.057,-0.122,0.088,0.0,0.001,16313.0,5798.0,1.0
mu[890],-0.014,0.055,-0.115,0.086,0.0,0.001,16547.0,5864.0,1.0
mu[891],-0.018,0.08,-0.167,0.132,0.001,0.001,13901.0,5883.0,1.0
mu[892],-0.013,0.056,-0.12,0.087,0.0,0.001,15875.0,5489.0,1.0
mu[893],-0.012,0.059,-0.123,0.099,0.0,0.001,15092.0,6018.0,1.0
mu[894],-0.015,0.055,-0.114,0.089,0.0,0.001,16512.0,5890.0,1.0
mu[895],-0.013,0.054,-0.113,0.089,0.0,0.001,16280.0,5856.0,1.0
mu[896],-0.015,0.058,-0.119,0.094,0.0,0.001,16209.0,5606.0,1.0
mu[897],-0.012,0.06,-0.122,0.101,0.0,0.001,14994.0,5994.0,1.0
mu[898],-0.011,0.069,-0.139,0.12,0.001,0.001,13831.0,6347.0,1.0
mu[899],-0.016,0.061,-0.13,0.094,0.0,0.001,15800.0,5939.0,1.0
mu[900],-0.016,0.06,-0.126,0.095,0.0,0.001,15946.0,5879.0,1.0
mu[901],-0.024,0.149,-0.316,0.25,0.001,0.002,12531.0,5886.0,1.0
mu[902],-0.015,0.056,-0.123,0.084,0.0,0.001,16413.0,6007.0,1.0
mu[903],-0.014,0.054,-0.114,0.086,0.0,0.001,16337.0,5847.0,1.0
mu[904],-0.014,0.054,-0.114,0.086,0.0,0.001,16554.0,5899.0,1.0
mu[905],-0.015,0.055,-0.114,0.089,0.0,0.001,16514.0,5868.0,1.0
mu[906],-0.011,0.064,-0.126,0.115,0.001,0.001,14343.0,6126.0,1.0
mu[907],-0.017,0.07,-0.152,0.111,0.001,0.001,14574.0,6066.0,1.0
mu[908],-0.011,0.065,-0.136,0.108,0.001,0.001,14267.0,6381.0,1.0
mu[909],-0.015,0.057,-0.124,0.084,0.0,0.001,16349.0,5921.0,1.0
mu[910],-0.014,0.055,-0.115,0.086,0.0,0.001,16555.0,5853.0,1.0
mu[911],-0.015,0.057,-0.122,0.086,0.0,0.001,16351.0,5944.0,1.0
mu[912],-0.02,0.099,-0.218,0.158,0.001,0.001,13172.0,5856.0,1.0
mu[913],-0.014,0.054,-0.112,0.088,0.0,0.001,16520.0,5861.0,1.0
mu[914],-0.015,0.056,-0.122,0.085,0.0,0.001,16374.0,5995.0,1.0
mu[915],-0.017,0.065,-0.138,0.103,0.001,0.001,15157.0,6264.0,1.0
mu[916],-0.015,0.056,-0.123,0.084,0.0,0.001,16389.0,6043.0,1.0
mu[917],-0.014,0.055,-0.115,0.087,0.0,0.001,16552.0,5852.0,1.0
mu[918],-0.014,0.054,-0.115,0.085,0.0,0.001,16365.0,5823.0,1.0
mu[919],-0.017,0.069,-0.151,0.106,0.001,0.001,14705.0,6114.0,1.0
mu[920],-0.012,0.062,-0.125,0.106,0.001,0.001,14705.0,6037.0,1.0
mu[921],-0.013,0.057,-0.123,0.088,0.0,0.001,15639.0,5736.0,1.0
mu[922],-0.014,0.054,-0.115,0.086,0.0,0.001,16549.0,5881.0,1.0
mu[923],-0.014,0.054,-0.114,0.087,0.0,0.001,16551.0,5842.0,1.0
mu[924],-0.012,0.06,-0.123,0.101,0.0,0.001,14990.0,5994.0,1.0
mu[925],-0.013,0.055,-0.119,0.087,0.0,0.001,15970.0,5608.0,1.0
mu[926],-0.011,0.068,-0.138,0.115,0.001,0.001,13963.0,6308.0,1.0
mu[927],-0.012,0.062,-0.126,0.106,0.001,0.001,14690.0,6015.0,1.0
mu[928],-0.014,0.055,-0.113,0.088,0.0,0.001,16555.0,5853.0,1.0
mu[929],-0.015,0.056,-0.123,0.084,0.0,0.001,16395.0,6043.0,1.0
