celltype_index,mean,median,std,hdi_lower,hdi_upper,credible
0,0.006345257936022018,0.006348503458265823,0.023330698036945045,-0.038683189545708985,0.05282182402849125,False
1,-0.09416665220458376,-0.09527497492311468,0.05784595824428228,-0.21003137178281533,0.029281814747992508,False
2,-0.05610316234456039,-0.05752442427393534,0.0935229278326952,-0.2556705189357836,0.15272733663922697,False
3,-0.0273606253172147,-0.027492298877950745,0.027475175288785667,-0.08064050394537067,0.029186117850454437,False
4,0.019656048214554935,0.019570383389314196,0.024586015156810432,-0.029844160373552735,0.06753095896289169,False
