celltype_index,mean,median,std,hdi_lower,hdi_upper,credible
0,0.059849819764812934,0.059655038736713115,0.02765303295029365,0.006052016386178965,0.11381475811449353,True
1,0.17112758476850728,0.1711456553835886,0.02216934685847211,0.12799412196631935,0.2150278257003875,True
2,0.010624407180820824,0.010877782322026377,0.02074865409717299,-0.029128291003328644,0.051821938336518415,False
3,-0.001899508515239707,-0.0014870656252242696,0.020157494830946886,-0.04117362125401651,0.03751151509811896,False
4,0.030564739573974153,0.03071713769431035,0.023551608326462276,-0.015070083447127283,0.07685078793025335,False
5,-0.11412626817128603,-0.11410779204627672,0.029658496100076003,-0.17254904982582836,-0.056228415261365655,True
6,0.02912869558694463,0.03154406124493095,0.07901331337508831,-0.13896682399787616,0.18471115888093373,False
7,-0.002603558353284119,-0.002266091155988475,0.11742584798657911,-0.25028203800493865,0.2357112425333935,False
8,0.015567965100046518,0.015356294983713912,0.026471218864975592,-0.03575677062772223,0.06824037165828828,False
9,0.03967259388104055,0.03991097358671839,0.02485114843707502,-0.009057429515656069,0.08698057105162531,False
10,0.016889474506923415,0.017106972459110442,0.020163831280269353,-0.02222202142243529,0.05527831344211232,False
11,-0.04502481037603924,-0.04534022361673713,0.023106589592894612,-0.09011616637478341,0.00106720750520122,False
12,0.0001892804326630807,0.000433976322673652,0.11698257586346907,-0.2435876329048133,0.24677691213647548,False
13,-0.06453560966008305,-0.07538881269614772,0.12353931444657897,-0.29242438878906335,0.20906178719749963,False
14,0.011187909078594991,0.011110343255781856,0.023639380121336713,-0.03445016927916255,0.057999546132388544,False
15,-0.00829106238323457,-0.008114475485044542,0.02926742106752253,-0.06471718451289164,0.04818776622253871,False
16,-0.007762266081751925,-0.007879273255397414,0.020621937378044894,-0.04758774923753483,0.032996668010848045,False
17,0.01649675003306053,0.016367085536496156,0.02104144829024401,-0.02445491747099223,0.05878072179953029,False
18,0.05444414912687043,0.055744045490859845,0.0521612196976719,-0.05628678014883482,0.15498748961051662,False
19,-0.031888093158715235,-0.03158255397750334,0.022619421279129127,-0.07575418244708834,0.011083743678717681,False
