sample,celltype_0,celltype_1,celltype_2,celltype_3,celltype_4,celltype_5,celltype_6,celltype_7,celltype_8,celltype_9,celltype_10,celltype_11,celltype_12,celltype_13,celltype_14,celltype_15,celltype_16,celltype_17,celltype_18,celltype_19
0,0.07120206333071562,0.16661010819321984,0.04055914636160729,0.03201274481668197,0.08761744079337609,-0.11921439510911383,0.0010185497464581983,-0.054408636322604655,0.06478085359422744,0.0658608339244818,0.02122204877540283,-0.02748800382669282,0.16231707763436518,-0.07016632093581657,0.020981765906800193,-0.011770562627250654,0.014011709886696712,0.03374939757700851,0.06889914593267883,-0.017538061479448096
1,0.09965888235729028,0.24568604159335958,0.03220888129311722,0.020910202417160274,0.023478192001355876,-0.07242162374033885,0.03240271016594676,-0.02834938534840918,0.0373117101242464,0.05648903870525575,0.04759499021720166,-0.010390164711451821,0.07824616324702112,-0.1601783414823435,0.04730664637136858,0.038611680692977636,0.0020728117074897963,0.04595181123790606,0.03652592420135175,-0.003111562213046074
2,0.08686111767748503,0.1514916668525193,0.0038532325191424984,0.009340936004130669,0.013463661234826192,-0.11149313671780585,-0.009159593386330711,0.10078333098192496,-0.04677449109452256,0.038192103646953586,0.020366894326364068,-0.025129649136755618,0.0026674618673507033,-0.15697265278685665,0.04536844454351513,-0.011102748749921005,0.001739193001279576,0.01435517771631153,0.10321902455440898,-0.018011805504805342
3,0.057029008463820315,0.1752342776917271,0.029676037375385704,-0.002729641966615983,0.05463131214171175,-0.14309940512901348,-0.012888385844965707,0.029987224601502056,-0.013012847410968772,0.039231010430694276,0.032386891617715075,-0.023349637565895597,0.1190558207081526,-0.09833698010344202,-0.004218908416904896,-0.032933735392114645,0.0063051052829111165,0.033445909804827985,0.04443842993295425,-0.03799729459580892
4,0.11517164495203416,0.18648944385038171,0.006704158167965304,0.010993120614413895,0.013769854517584093,-0.10514312940010441,0.07480591734247527,-0.08020652181399264,0.01032446420460057,0.06343528561456718,0.01946676519602198,-0.015601937881772934,-0.09061062954085791,-0.07673132724466299,0.02741899880060232,-0.0025401753777795945,-0.007277015183858022,0.012584684055215081,0.09672296843998018,-0.01555223410401587
5,0.009437326926992432,0.17732774424043943,0.03626960074904657,0.009566962190466701,0.0716024094139535,-0.09466387308428806,0.018605569774235657,-0.006682685158633148,0.05366765047112602,0.05237013330906091,0.04425085533787597,-0.048369051845836245,0.0657064930072382,-0.03523491261019567,0.03876682468272524,-0.03073813981148734,0.01603663768268271,0.035405593086245316,0.03424456255429382,-0.02308502176042759
6,0.07190026424089677,0.1797154914504402,0.011431734117264258,0.014445019347042391,0.018708156253705484,-0.10593666476423012,0.07770186806039499,0.028068748363879344,0.03708094309011711,0.0551647003694139,0.014858734803996,-0.03158986520015494,-0.07643629546510619,-0.2500895528457477,0.0214990602872092,-0.0009587960357984777,-0.0057459567301182506,0.0298263413126155,0.068528254984612,-0.007181671827418383
7,0.07770150017065285,0.18231539235029648,0.0068207627263720035,0.01744278459177862,0.01608640336680314,-0.09868762946180883,0.05766457510520186,0.03207622748883366,0.025677132098387116,0.05740822513008578,0.016302119169829894,-0.042972902460613305,0.0063251991828049605,-0.316273685823095,0.02851454311890966,-0.0003802257543965743,-0.015609939528699816,0.027528904091323782,0.06230179324805558,0.0003441187399560209
8,0.04864070008794384,0.17618161753889486,0.03186874727778054,-0.001030663986580479,0.05505282864484633,-0.12355980249511313,0.01018787063070684,-0.20865352737183862,0.04508098173398906,0.046348730602842225,0.042565697381718386,-0.019797276055662835,0.029559836229260634,0.037495605085313306,0.012464056212636892,-0.015965966972534888,0.008130581705683763,0.02447945490605506,0.05213787705495353,-0.03663415559702893
9,0.0728395829644013,0.18213841461652588,0.006224915222119526,-0.0020432257033306113,0.027286827110346985,-0.10415044044165145,0.07221701158655686,-0.208126382142637,0.05825343125969724,0.04299177881784338,0.005690424520699421,-0.03827071210997631,0.038091749609100334,0.009182452381041463,0.03440603408242814,0.0118340957240345,-0.0057614209161192444,0.031131907646281577,0.08723729504021754,-0.0300180653208808
10,0.06997119149928703,0.17692972561570203,0.02295739677111248,0.0010397472080209864,0.047976842483683245,-0.10290624139876627,0.01718630605488617,0.04053085313309166,0.03830800018864708,0.05816067166264481,0.02978830907520717,-0.06118928794137307,0.043540452492252524,-0.1327085649386156,0.0056909367398991885,0.014352855915139694,-0.009308200518342392,0.009775953772222635,0.025184703651927227,-0.021459796018622877
11,0.07683003939801815,0.1906966226575654,0.03666319590524184,0.021695215094546763,0.04820963071620882,-0.073036219672076,-0.06229858606620307,-0.01563603485357036,0.03833275814403679,0.06515033670144922,0.03816167496057365,-0.053144871760598206,-0.021454606615490607,-0.10936696876150563,0.0328234078978638,0.015048102853591153,0.023780455922296016,0.05042690176895313,0.05296883506638691,0.0021521516472564595
12,0.08552769051264646,0.1706515890407499,0.040598827996092,0.025224148478525842,0.05919355012272997,-0.07316949093856587,-0.0844949858415666,0.0602248769238869,0.07383759344940317,0.07321904362623868,0.04998073268570038,-0.030083585680785317,-0.02526945390554725,-0.23188433501456268,0.030472073809372485,0.031036069520928567,0.008507342867453567,0.03065088393818169,0.03756072823326248,-0.030193673170894657
13,0.08230842870209977,0.22444642120611624,0.055616750670133046,0.044803694051328696,0.07274585548496892,-0.06298802838825587,-0.0535725612988409,0.07769223117416892,0.04519564678773369,0.07230756220980752,0.046513098472459984,0.026742936658226073,-0.01118226905490505,-0.0662972130587481,0.03692104864069505,0.0166109712368309,0.01597379009649873,0.046532985045647936,0.07105398573149634,0.003183820595370358
14,0.09522732702136213,0.19433317519845353,0.026584875416168975,0.02418938007333893,0.04579203854359478,-0.08495834844751579,0.13065195621491396,0.07543104442792627,0.04639748963329213,0.07045791448510329,0.04905624046759064,0.01704881353687304,0.02410557311711012,-0.11197130601096565,0.01912519771081577,0.03132522776483417,0.023481808242493178,0.05701886839529121,0.09260543159630986,-0.0153496373332957
15,0.09879005585361818,0.18348772282151668,0.038750588719846345,0.025943188278759074,0.06143758597116422,-0.07856429341863871,0.019888699271029618,0.10581652192368693,0.020324539131891226,0.06901147440876461,0.04481991541487748,0.006526880301934613,-0.09176898903487726,0.10316765311251822,0.014974148112357456,-0.03005414925027428,0.02362229875255205,0.0331134771825125,0.020911295990505917,-0.005483280538602321
