,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[27137],0.033,0.057,-0.075,0.139,0.0,0.001,19096.0,5876.0,1.0
mu[27138],0.702,0.058,0.595,0.813,0.001,0.001,13232.0,6475.0,1.0
mu[27139],0.237,0.057,0.126,0.342,0.0,0.001,19353.0,6126.0,1.0
mu[27140],0.129,0.058,0.023,0.24,0.0,0.001,19613.0,5546.0,1.0
mu[27141],-0.03,0.061,-0.142,0.087,0.0,0.001,16904.0,5982.0,1.0
mu[27142],0.114,0.061,-0.005,0.224,0.0,0.001,16573.0,6499.0,1.0
mu[27143],-0.013,0.07,-0.142,0.121,0.001,0.001,12066.0,7249.0,1.0
mu[27144],0.133,0.057,0.027,0.242,0.0,0.001,19635.0,6393.0,1.0
mu[27145],-0.046,0.061,-0.165,0.063,0.0,0.001,20353.0,5852.0,1.0
mu[27146],0.416,0.058,0.305,0.524,0.0,0.001,16827.0,6948.0,1.0
mu[27147],0.033,0.062,-0.084,0.15,0.0,0.001,16803.0,6825.0,1.0
mu[27148],0.125,0.058,0.014,0.23,0.0,0.001,20341.0,6406.0,1.0
mu[27149],0.148,0.061,0.036,0.267,0.001,0.001,14564.0,6826.0,1.0
mu[27150],-0.04,0.057,-0.149,0.062,0.0,0.001,21220.0,5692.0,1.0
mu[27151],0.176,0.057,0.072,0.286,0.0,0.001,20544.0,6064.0,1.0
mu[27152],0.137,0.06,0.031,0.253,0.0,0.001,19694.0,5916.0,1.0
mu[27153],-0.013,0.059,-0.126,0.099,0.0,0.001,18959.0,6350.0,1.0
mu[27154],0.552,0.058,0.443,0.66,0.0,0.001,15504.0,6959.0,1.0
mu[27155],-0.15,0.057,-0.254,-0.04,0.0,0.001,21610.0,5658.0,1.0
mu[27156],-0.069,0.059,-0.18,0.036,0.0,0.001,18114.0,6429.0,1.0
mu[27157],0.134,0.062,0.018,0.254,0.0,0.001,15828.0,5738.0,1.0
mu[27158],-0.145,0.06,-0.256,-0.03,0.0,0.001,18464.0,5978.0,1.0
mu[27159],-0.029,0.058,-0.136,0.082,0.0,0.001,17726.0,5903.0,1.0
mu[27160],-0.066,0.063,-0.183,0.052,0.0,0.001,18069.0,6424.0,1.0
mu[27161],-0.28,0.057,-0.386,-0.172,0.0,0.001,22342.0,6525.0,1.0
mu[27162],-0.521,0.057,-0.623,-0.406,0.0,0.001,16828.0,6600.0,1.0
mu[27163],0.458,0.058,0.349,0.565,0.0,0.001,17385.0,6687.0,1.0
mu[27164],0.136,0.059,0.023,0.245,0.0,0.001,19374.0,6317.0,1.0
mu[27165],-0.669,0.057,-0.774,-0.56,0.0,0.001,16568.0,6027.0,1.0
mu[27166],-0.35,0.057,-0.46,-0.244,0.0,0.001,18920.0,5664.0,1.0
mu[27167],0.001,0.057,-0.107,0.11,0.0,0.001,22648.0,6226.0,1.0
mu[27168],-0.217,0.057,-0.321,-0.108,0.0,0.001,20010.0,5826.0,1.0
mu[27169],-0.617,0.059,-0.724,-0.504,0.0,0.001,14534.0,6527.0,1.0
mu[27170],0.003,0.059,-0.111,0.109,0.0,0.001,20228.0,6504.0,1.0
mu[27171],-0.069,0.059,-0.179,0.041,0.0,0.001,20772.0,5256.0,1.0
mu[27172],-0.36,0.057,-0.466,-0.254,0.0,0.001,18702.0,6644.0,1.0
mu[27173],-0.57,0.061,-0.683,-0.458,0.001,0.001,14264.0,6863.0,1.0
mu[27174],-0.153,0.058,-0.261,-0.047,0.0,0.001,21239.0,5755.0,1.0
mu[27175],0.258,0.058,0.149,0.367,0.0,0.001,17712.0,5396.0,1.0
mu[27176],0.183,0.062,0.068,0.301,0.0,0.001,18078.0,6363.0,1.0
mu[27177],-0.66,0.058,-0.769,-0.552,0.0,0.001,14545.0,6618.0,1.0
mu[27178],0.103,0.058,-0.003,0.214,0.0,0.001,17838.0,5966.0,1.0
mu[27179],0.108,0.058,0.003,0.219,0.0,0.001,18599.0,5613.0,1.0
mu[27180],-0.097,0.064,-0.221,0.023,0.001,0.001,14627.0,6297.0,1.0
mu[27181],-0.04,0.057,-0.142,0.07,0.0,0.001,17465.0,4968.0,1.0
mu[27182],-0.059,0.059,-0.168,0.051,0.0,0.001,19231.0,5952.0,1.0
mu[27183],-0.045,0.059,-0.151,0.07,0.0,0.001,19588.0,5701.0,1.0
mu[27184],-0.06,0.057,-0.168,0.048,0.0,0.001,18841.0,5260.0,1.0
mu[27185],-0.036,0.058,-0.146,0.071,0.0,0.001,19217.0,5660.0,1.0
mu[27186],-0.199,0.058,-0.302,-0.085,0.0,0.001,16915.0,5226.0,1.0
mu[27187],-0.052,0.061,-0.165,0.068,0.0,0.001,15265.0,5725.0,1.0
mu[27188],0.133,0.059,0.024,0.247,0.0,0.001,17755.0,5788.0,1.0
mu[27189],0.145,0.06,0.035,0.257,0.0,0.001,17989.0,5782.0,1.0
mu[27190],-0.133,0.089,-0.297,0.034,0.001,0.001,11482.0,7227.0,1.0
mu[27191],0.043,0.058,-0.063,0.152,0.0,0.001,20473.0,5878.0,1.0
mu[27192],-0.228,0.059,-0.34,-0.118,0.0,0.001,18842.0,5066.0,1.0
mu[27193],0.007,0.058,-0.096,0.122,0.0,0.001,19085.0,6081.0,1.0
mu[27194],-0.21,0.058,-0.322,-0.101,0.0,0.001,20146.0,5842.0,1.0
mu[27195],-0.251,0.059,-0.36,-0.138,0.0,0.001,16039.0,5964.0,1.0
mu[27196],-0.24,0.062,-0.356,-0.122,0.001,0.001,15125.0,5796.0,1.0
mu[27197],-0.07,0.06,-0.18,0.044,0.0,0.001,18380.0,6074.0,1.0
mu[27198],-0.017,0.059,-0.126,0.092,0.0,0.001,20816.0,5842.0,1.0
mu[27199],-0.024,0.057,-0.132,0.084,0.0,0.001,19591.0,5361.0,1.0
mu[27200],0.013,0.058,-0.099,0.117,0.0,0.001,19350.0,5918.0,1.0
mu[27201],0.08,0.071,-0.05,0.214,0.001,0.001,13299.0,6441.0,1.0
mu[27202],0.118,0.058,0.014,0.232,0.0,0.001,20280.0,5834.0,1.0
mu[27203],-0.327,0.058,-0.443,-0.224,0.0,0.001,17352.0,5143.0,1.0
mu[27204],0.021,0.061,-0.09,0.138,0.0,0.001,18465.0,5876.0,1.0
mu[27205],-0.161,0.058,-0.268,-0.051,0.0,0.001,21523.0,5966.0,1.0
mu[27206],-0.055,0.058,-0.164,0.05,0.0,0.001,18443.0,5676.0,1.0
mu[27207],-0.072,0.058,-0.181,0.039,0.0,0.001,17908.0,5698.0,1.0
mu[27208],-0.229,0.062,-0.346,-0.114,0.0,0.001,16410.0,6627.0,1.0
mu[27209],0.138,0.059,0.028,0.251,0.0,0.001,16377.0,5448.0,1.0
mu[27210],-0.42,0.058,-0.527,-0.312,0.0,0.001,16079.0,6302.0,1.0
mu[27211],0.614,0.058,0.506,0.723,0.0,0.001,13638.0,6460.0,1.0
