Sample,CellType,Signature,Z
C3N-01011,ACINAR,AMPK_Signaling_Signature,0.3138087979270899
C3N-01012,ACINAR,AMPK_Signaling_Signature,2.7085819288588056
C3N-01165,ACINAR,AMPK_Signaling_Signature,0.0565966686240195
C3N-01167,ACINAR,AMPK_Signaling_Signature,-0.441015323616417
C3N-01168,ACINAR,AMPK_Signaling_Signature,1.475636226796415
C3N-01375,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-01380,ACINAR,AMPK_Signaling_Signature,-0.3766498775122496
C3N-01381,ACINAR,AMPK_Signaling_Signature,1.269442598021479
C3N-01382,ACINAR,AMPK_Signaling_Signature,0.7378726519683165
C3N-01383,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-01502,ACINAR,AMPK_Signaling_Signature,-0.4410167071287398
C3N-01714,ACINAR,AMPK_Signaling_Signature,-0.4410182908530241
C3N-01715,ACINAR,AMPK_Signaling_Signature,-0.4410171418628621
C3N-01716,ACINAR,AMPK_Signaling_Signature,-0.4410096197273657
C3N-01719,ACINAR,AMPK_Signaling_Signature,-0.4410189428256825
C3N-01998,ACINAR,AMPK_Signaling_Signature,0.4470625791555667
C3N-02010,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-02295,ACINAR,AMPK_Signaling_Signature,-0.4264717464356068
C3N-02573,ACINAR,AMPK_Signaling_Signature,-0.4261771626278469
C3N-02579,ACINAR,AMPK_Signaling_Signature,-0.3972583189570108
C3N-02585,ACINAR,AMPK_Signaling_Signature,-0.4410192648462909
C3N-02589,ACINAR,AMPK_Signaling_Signature,0.1018100691122405
C3N-02592,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-02768,ACINAR,AMPK_Signaling_Signature,0.0690675288077871
C3N-02940,ACINAR,AMPK_Signaling_Signature,-0.3324129485576057
C3N-02944,ACINAR,AMPK_Signaling_Signature,-0.4410185702559103
C3N-02971,ACINAR,AMPK_Signaling_Signature,-0.441017949098695
C3N-02998,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-03000,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-03007,ACINAR,AMPK_Signaling_Signature,-0.4410185841707109
C3N-03061,ACINAR,AMPK_Signaling_Signature,-0.1310382306110748
C3N-03086,ACINAR,AMPK_Signaling_Signature,-0.441018688569801
C3N-03173,ACINAR,AMPK_Signaling_Signature,-0.1353208154779907
C3N-03190,ACINAR,AMPK_Signaling_Signature,2.18574305214168
C3N-03211,ACINAR,AMPK_Signaling_Signature,-0.4410007099757208
C3N-03426,ACINAR,AMPK_Signaling_Signature,-0.44101557463283
C3N-03428,ACINAR,AMPK_Signaling_Signature,-0.4410193097270162
C3N-03440,ACINAR,AMPK_Signaling_Signature,1.0150969664517615
C3N-03665,ACINAR,AMPK_Signaling_Signature,-0.3921070402388205
C3N-03666,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-03670,ACINAR,AMPK_Signaling_Signature,0.3681046713055356
C3N-03754,ACINAR,AMPK_Signaling_Signature,0.1218546467372175
C3N-03780,ACINAR,AMPK_Signaling_Signature,-0.2917012270418178
C3N-03839,ACINAR,AMPK_Signaling_Signature,-0.4410192648462909
C3N-03840,ACINAR,AMPK_Signaling_Signature,-0.1163432646659638
C3N-03853,ACINAR,AMPK_Signaling_Signature,-0.4410193097270162
C3N-03884,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-04119,ACINAR,AMPK_Signaling_Signature,-0.4410185702559103
C3N-04126,ACINAR,AMPK_Signaling_Signature,-0.3761899814472355
C3N-04283,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-04284,ACINAR,AMPK_Signaling_Signature,3.0
C3L-00017,ACINAR,Cell_Death_Resistance_Signature,-0.4678660940476973
C3L-00102,ACINAR,Cell_Death_Resistance_Signature,-0.4678649559220128
C3L-00189,ACINAR,Cell_Death_Resistance_Signature,-0.46786756043703
C3L-00277,ACINAR,Cell_Death_Resistance_Signature,-0.4678667019177276
C3L-00401,ACINAR,Cell_Death_Resistance_Signature,-0.3194219738747651
C3L-00589,ACINAR,Cell_Death_Resistance_Signature,-0.4584779740074045
C3L-00599,ACINAR,Cell_Death_Resistance_Signature,-0.3666318220940984
C3L-00622,ACINAR,Cell_Death_Resistance_Signature,-0.2676464114360405
C3L-00625,ACINAR,Cell_Death_Resistance_Signature,-0.4678657613772287
C3L-00640,ACINAR,Cell_Death_Resistance_Signature,-0.4678674723447932
C3L-00819,ACINAR,Cell_Death_Resistance_Signature,-0.4678674723447932
C3L-00881,ACINAR,Cell_Death_Resistance_Signature,0.0276783753530172
C3L-00928,ACINAR,Cell_Death_Resistance_Signature,-0.4678659647971083
C3L-01031,ACINAR,Cell_Death_Resistance_Signature,-0.4678665582609481
C3L-01036,ACINAR,Cell_Death_Resistance_Signature,-0.4126208658644045
C3L-01037,ACINAR,Cell_Death_Resistance_Signature,-0.0267336368474151
C3L-01051,ACINAR,Cell_Death_Resistance_Signature,0.5530973340842359
C3L-01052,ACINAR,Cell_Death_Resistance_Signature,2.0629191094970247
C3L-01053,ACINAR,Cell_Death_Resistance_Signature,2.840944129106635
C3L-01054,ACINAR,Cell_Death_Resistance_Signature,1.9813451529946229
C3L-01124,ACINAR,Cell_Death_Resistance_Signature,-0.467865166122989
C3L-01328,ACINAR,Cell_Death_Resistance_Signature,-0.4678632306911632
C3L-01453,ACINAR,Cell_Death_Resistance_Signature,-0.4678652614427969
C3L-01598,ACINAR,Cell_Death_Resistance_Signature,-0.4678668058404875
C3L-01637,ACINAR,Cell_Death_Resistance_Signature,0.4320809221302116
C3L-01662,ACINAR,Cell_Death_Resistance_Signature,1.5583054674826848
C3L-01687,ACINAR,Cell_Death_Resistance_Signature,-0.2697569462035465
C3L-01689,ACINAR,Cell_Death_Resistance_Signature,-0.4678639707371784
C3L-01703,ACINAR,Cell_Death_Resistance_Signature,-0.4678661395794544
C3L-01971,ACINAR,Cell_Death_Resistance_Signature,0.05003201044284
C3L-02109,ACINAR,Cell_Death_Resistance_Signature,-0.4678650337082114
C3L-02112,ACINAR,Cell_Death_Resistance_Signature,0.4932087957368157
C3L-02115,ACINAR,Cell_Death_Resistance_Signature,2.7895366509221127
C3L-02116,ACINAR,Cell_Death_Resistance_Signature,-0.4678632163519242
C3L-02118,ACINAR,Cell_Death_Resistance_Signature,-0.0596691878351251
C3L-02463,ACINAR,Cell_Death_Resistance_Signature,-0.4678653839131038
C3L-02604,ACINAR,Cell_Death_Resistance_Signature,-0.4678677725536087
C3L-02606,ACINAR,Cell_Death_Resistance_Signature,-0.4678659681183739
C3L-02610,ACINAR,Cell_Death_Resistance_Signature,-0.4678660002195527
C3L-02613,ACINAR,Cell_Death_Resistance_Signature,-0.4678642009163443
C3L-02701,ACINAR,Cell_Death_Resistance_Signature,-0.4678652363892467
C3L-02809,ACINAR,Cell_Death_Resistance_Signature,-0.4678660530171071
C3L-02890,ACINAR,Cell_Death_Resistance_Signature,-0.0772840561078673
C3L-02897,ACINAR,Cell_Death_Resistance_Signature,-0.4678640259133141
C3L-02899,ACINAR,Cell_Death_Resistance_Signature,-0.4678655408532876
C3L-03123,ACINAR,Cell_Death_Resistance_Signature,-0.4678642587692143
C3L-03356,ACINAR,Cell_Death_Resistance_Signature,-0.467864065941815
C3L-03388,ACINAR,Cell_Death_Resistance_Signature,-0.4678667430750785
C3L-03394,ACINAR,Cell_Death_Resistance_Signature,-0.4444784085867492
C3L-03395,ACINAR,Cell_Death_Resistance_Signature,0.6780069769213671
C3L-03628,ACINAR,Cell_Death_Resistance_Signature,-0.3450028943753475
C3L-03630,ACINAR,Cell_Death_Resistance_Signature,-0.2559961010592837
C3L-03632,ACINAR,Cell_Death_Resistance_Signature,1.007209551074281
C3L-03635,ACINAR,Cell_Death_Resistance_Signature,-0.467866562335397
C3L-03639,ACINAR,Cell_Death_Resistance_Signature,-0.4678647761205025
C3L-03743,ACINAR,Cell_Death_Resistance_Signature,-0.4678671252010916
C3L-04027,ACINAR,Cell_Death_Resistance_Signature,-0.0529537725885194
C3L-04080,ACINAR,Cell_Death_Resistance_Signature,0.8181759034791123
C3L-04473,ACINAR,Cell_Death_Resistance_Signature,-0.1224443864917335
C3L-04475,ACINAR,Cell_Death_Resistance_Signature,-0.467866340408352
C3L-04479,ACINAR,Cell_Death_Resistance_Signature,-0.4678665888961671
C3L-04495,ACINAR,Cell_Death_Resistance_Signature,0.572643076781673
C3L-04848,ACINAR,Cell_Death_Resistance_Signature,-0.4678658922372917
C3L-04853,ACINAR,Cell_Death_Resistance_Signature,0.418266053121359
C3N-00198,ACINAR,Cell_Death_Resistance_Signature,-0.4678661088357005
C3N-00249,ACINAR,Cell_Death_Resistance_Signature,-0.4678660881460706
C3N-00302,ACINAR,Cell_Death_Resistance_Signature,-0.4678678496430644
C3N-00303,ACINAR,Cell_Death_Resistance_Signature,-0.4678667029292409
C3N-00436,ACINAR,Cell_Death_Resistance_Signature,-0.46786756043703
C3N-00511,ACINAR,Cell_Death_Resistance_Signature,-0.4678649503552918
C3N-00512,ACINAR,Cell_Death_Resistance_Signature,0.49506431595277
C3N-00514,ACINAR,Cell_Death_Resistance_Signature,-0.4678667797188491
C3N-00516,ACINAR,Cell_Death_Resistance_Signature,-0.4678663942981401
C3N-00517,ACINAR,Cell_Death_Resistance_Signature,2.9067232893809405
C3N-00518,ACINAR,Cell_Death_Resistance_Signature,-0.4678667790071834
C3N-00957,ACINAR,Cell_Death_Resistance_Signature,-0.4678674204579389
C3N-01011,ACINAR,Cell_Death_Resistance_Signature,0.4144404125674892
C3N-01012,ACINAR,Cell_Death_Resistance_Signature,3.0
C3N-01165,ACINAR,Cell_Death_Resistance_Signature,0.1783695858327862
C3N-01167,ACINAR,Cell_Death_Resistance_Signature,-0.467865876994208
C3N-01168,ACINAR,Cell_Death_Resistance_Signature,1.9000867213890005
C3N-01375,ACINAR,Cell_Death_Resistance_Signature,-0.4678669585129228
C3N-01380,ACINAR,Cell_Death_Resistance_Signature,-0.4005161606387683
C3N-01381,ACINAR,Cell_Death_Resistance_Signature,1.0179795681671302
C3N-01382,ACINAR,Cell_Death_Resistance_Signature,0.7539879274456839
C3N-01383,ACINAR,Cell_Death_Resistance_Signature,-0.467866966070212
C3N-01502,ACINAR,Cell_Death_Resistance_Signature,-0.4678664489170759
C3N-01714,ACINAR,Cell_Death_Resistance_Signature,-0.4678656269999167
C3N-01715,ACINAR,Cell_Death_Resistance_Signature,-0.4678652279693609
C3N-01716,ACINAR,Cell_Death_Resistance_Signature,-0.4678533909626047
C3N-01719,ACINAR,Cell_Death_Resistance_Signature,-0.4678659736595262
C3N-01998,ACINAR,Cell_Death_Resistance_Signature,1.0073344758135132
C3N-02010,ACINAR,Cell_Death_Resistance_Signature,-0.4678660469470924
C3N-02295,ACINAR,Cell_Death_Resistance_Signature,-0.4503541975265184
C3N-02573,ACINAR,Cell_Death_Resistance_Signature,-0.4504298849233595
C3N-02579,ACINAR,Cell_Death_Resistance_Signature,-0.4152311094256452
C3N-02585,ACINAR,Cell_Death_Resistance_Signature,-0.4678658642883406
C3N-02589,ACINAR,Cell_Death_Resistance_Signature,0.1723885728899635
C3N-02592,ACINAR,Cell_Death_Resistance_Signature,-0.46786640198219
C3N-02768,ACINAR,Cell_Death_Resistance_Signature,0.3100410902359234
C3N-02940,ACINAR,Cell_Death_Resistance_Signature,-0.3232305073317638
C3N-02944,ACINAR,Cell_Death_Resistance_Signature,-0.4678640127100591
C3N-02971,ACINAR,Cell_Death_Resistance_Signature,-0.4678666296143864
C3N-02998,ACINAR,Cell_Death_Resistance_Signature,-0.46786551026033
C3N-03000,ACINAR,Cell_Death_Resistance_Signature,-0.4678676375264857
C3N-03007,ACINAR,Cell_Death_Resistance_Signature,-0.467867281041462
C3N-03061,ACINAR,Cell_Death_Resistance_Signature,0.0262982965958335
C3N-03086,ACINAR,Cell_Death_Resistance_Signature,-0.4678648435503978
C3N-03173,ACINAR,Cell_Death_Resistance_Signature,-0.0951093982505476
C3N-03190,ACINAR,Cell_Death_Resistance_Signature,2.36566121269092
C3N-03211,ACINAR,Cell_Death_Resistance_Signature,-0.4678631175769916
C3N-03426,ACINAR,Cell_Death_Resistance_Signature,-0.4678664126700659
C3N-03428,ACINAR,Cell_Death_Resistance_Signature,-0.4678634345973639
C3N-03440,ACINAR,Cell_Death_Resistance_Signature,1.1220346600739262
C3N-03665,ACINAR,Cell_Death_Resistance_Signature,-0.4041586583691964
C3N-03666,ACINAR,Cell_Death_Resistance_Signature,-0.467867607371916
C3N-03670,ACINAR,Cell_Death_Resistance_Signature,0.4142808553043109
C3N-03754,ACINAR,Cell_Death_Resistance_Signature,0.3002466433503472
C3N-03780,ACINAR,Cell_Death_Resistance_Signature,-0.3214876514391907
C3N-03839,ACINAR,Cell_Death_Resistance_Signature,-0.4678657463564392
C3N-03840,ACINAR,Cell_Death_Resistance_Signature,0.0922508773061869
C3N-03853,ACINAR,Cell_Death_Resistance_Signature,-0.4678649142989606
C3N-03884,ACINAR,Cell_Death_Resistance_Signature,-0.4678635638134252
C3N-04119,ACINAR,Cell_Death_Resistance_Signature,-0.4678666909149466
C3N-04126,ACINAR,Cell_Death_Resistance_Signature,-0.371318080499982
C3N-04283,ACINAR,Cell_Death_Resistance_Signature,-0.4678658719399856
C3N-04284,ACINAR,Cell_Death_Resistance_Signature,2.580545762178491
C3L-00017,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.5240918348952682
C3L-00102,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.3973998270145201
C3L-00189,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.5097267375111104
C3L-00277,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.4542349456485188
C3L-00401,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.1784994163426198
C3L-00589,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.1637970982266278
C3L-00599,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.8245889586475553
C3L-00622,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0610571033941297
C3L-00625,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.5537811517571734
C3L-00640,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.5652088852039543
C3L-00819,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.8066130241369627
C3L-00881,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.4092583581399101
C3L-00928,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.3953416511997032
C3L-01031,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0542495502641682
C3L-01036,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0793272803536897
C3L-01037,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.895790615422375
C3L-01051,ADIPOCYTES,ER_Stress_Adaptation_Signature,-1.092773701602775
C3L-01052,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.5273203897456488
C3L-01053,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.3864289908600719
C3L-01054,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.2005947032840355
C3L-01124,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.1852142222647387
C3L-01328,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.5184228319209381
C3L-01453,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.1121042290195859
C3L-01598,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.6309207860765372
C3L-01637,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.7533591559639561
C3L-01662,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.4890954737526844
C3L-01687,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0898633192310533
C3L-01689,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.4474750224667442
C3L-01703,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.7838854322143044
C3L-01971,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.6870787413423707
C3L-02109,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.077246236167436
C3L-02112,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.2891894755716557
C3L-02115,ADIPOCYTES,ER_Stress_Adaptation_Signature,-1.51905112605938
C3L-02116,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.0999660757218028
C3L-02118,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.1334262503076646
C3L-02463,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.6747772347619622
C3L-02604,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.4626648070651074
C3L-02606,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.5793578889271356
C3L-02610,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.980741901381498
C3L-02613,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.4838339965480385
C3L-02701,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.1225164604797874
C3L-02809,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.3772394669348301
C3L-02890,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.1772287857216671
C3L-02897,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.2538754444585161
C3L-02899,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0946757354378927
C3L-03123,ADIPOCYTES,ER_Stress_Adaptation_Signature,2.476051873740952
C3L-03356,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0163861667803179
C3L-03388,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.1417925366096242
C3L-03394,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.1153324996701169
C3L-03395,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.2832928208504162
C3L-03628,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.0681617159605117
C3L-03630,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.0867526257339152
C3L-03632,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.9891604687596658
C3L-03635,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.337167957439499
C3L-03639,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.5224312823531823
C3L-03743,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.7070575222182364
C3L-04027,ADIPOCYTES,ER_Stress_Adaptation_Signature,1.9154415528729791
C3L-04080,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0979541600578549
C3L-04473,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.694924234512817
C3L-04475,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.5398067454227538
C3L-04479,ADIPOCYTES,ER_Stress_Adaptation_Signature,-1.081610236862495
C3L-04495,ADIPOCYTES,ER_Stress_Adaptation_Signature,-0.0480442611955408
C3L-04848,ADIPOCYTES,ER_Stress_Adaptation_Signature,0.0318465849599527
