Sample,CellType,Signature,Z
C3N-00518,B_CELLS_NAIVE,Activation_Signature,-0.4361127141901312
C3N-00957,B_CELLS_NAIVE,Activation_Signature,0.1371409075957363
C3N-01011,B_CELLS_NAIVE,Activation_Signature,0.0075743757175982
C3N-01012,B_CELLS_NAIVE,Activation_Signature,-0.284198799154635
C3N-01165,B_CELLS_NAIVE,Activation_Signature,-0.1228062626452977
C3N-01167,B_CELLS_NAIVE,Activation_Signature,-0.3241353905188471
C3N-01168,B_CELLS_NAIVE,Activation_Signature,-0.4130308383784013
C3N-01375,B_CELLS_NAIVE,Activation_Signature,-0.2978217688950098
C3N-01380,B_CELLS_NAIVE,Activation_Signature,0.2808107710454428
C3N-01381,B_CELLS_NAIVE,Activation_Signature,-0.7322398112859873
C3N-01382,B_CELLS_NAIVE,Activation_Signature,-0.2541037787353452
C3N-01383,B_CELLS_NAIVE,Activation_Signature,-0.4166336325596684
C3N-01502,B_CELLS_NAIVE,Activation_Signature,0.2446104773547799
C3N-01714,B_CELLS_NAIVE,Activation_Signature,1.0171619002294503
C3N-01715,B_CELLS_NAIVE,Activation_Signature,0.4665011276267772
C3N-01716,B_CELLS_NAIVE,Activation_Signature,-0.6147891179415463
C3N-01719,B_CELLS_NAIVE,Activation_Signature,0.1662344904200927
C3N-01998,B_CELLS_NAIVE,Activation_Signature,0.1220605758352202
C3N-02010,B_CELLS_NAIVE,Activation_Signature,-0.4574317828313786
C3N-02295,B_CELLS_NAIVE,Activation_Signature,0.2129690349897008
C3N-02573,B_CELLS_NAIVE,Activation_Signature,-0.3522099411636746
C3N-02579,B_CELLS_NAIVE,Activation_Signature,-0.3431805042332329
C3N-02585,B_CELLS_NAIVE,Activation_Signature,-0.4534484256808325
C3N-02589,B_CELLS_NAIVE,Activation_Signature,-0.1279120266881963
C3N-02592,B_CELLS_NAIVE,Activation_Signature,-0.0738305797252634
C3N-02768,B_CELLS_NAIVE,Activation_Signature,-0.3886610415396996
C3N-02940,B_CELLS_NAIVE,Activation_Signature,0.0255030855700587
C3N-02944,B_CELLS_NAIVE,Activation_Signature,1.1181119517066611
C3N-02971,B_CELLS_NAIVE,Activation_Signature,0.4316470870250025
C3N-02998,B_CELLS_NAIVE,Activation_Signature,2.0387801014424336
C3N-03000,B_CELLS_NAIVE,Activation_Signature,-0.5890808346720416
C3N-03007,B_CELLS_NAIVE,Activation_Signature,-0.5346579687685404
C3N-03061,B_CELLS_NAIVE,Activation_Signature,0.1643129230788181
C3N-03086,B_CELLS_NAIVE,Activation_Signature,-0.4688212375821705
C3N-03173,B_CELLS_NAIVE,Activation_Signature,-0.359797052265741
C3N-03190,B_CELLS_NAIVE,Activation_Signature,-0.6576098277589144
C3N-03211,B_CELLS_NAIVE,Activation_Signature,-0.096828344880959
C3N-03426,B_CELLS_NAIVE,Activation_Signature,-0.3838991673148482
C3N-03428,B_CELLS_NAIVE,Activation_Signature,2.656025620772198
C3N-03440,B_CELLS_NAIVE,Activation_Signature,-0.1457553173196268
C3N-03665,B_CELLS_NAIVE,Activation_Signature,-0.4321503850484317
C3N-03666,B_CELLS_NAIVE,Activation_Signature,-0.4810847202411275
C3N-03670,B_CELLS_NAIVE,Activation_Signature,-0.1998125528847556
C3N-03754,B_CELLS_NAIVE,Activation_Signature,-0.6579833848310442
C3N-03780,B_CELLS_NAIVE,Activation_Signature,-0.5116760692666138
C3N-03839,B_CELLS_NAIVE,Activation_Signature,0.0483784769460115
C3N-03840,B_CELLS_NAIVE,Activation_Signature,0.2144509049038077
C3N-03853,B_CELLS_NAIVE,Activation_Signature,-0.5208021236387373
C3N-03884,B_CELLS_NAIVE,Activation_Signature,-0.7273217518861489
C3N-04119,B_CELLS_NAIVE,Activation_Signature,-0.7495301814422984
C3N-04126,B_CELLS_NAIVE,Activation_Signature,0.9032435157905514
C3N-04283,B_CELLS_NAIVE,Activation_Signature,-0.7845755484070785
C3N-04284,B_CELLS_NAIVE,Activation_Signature,-0.8522107498607941
C3L-00017,B_CELLS_NAIVE,Autophagy_Regulation_Signature,1.945206739596879
C3L-00102,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.0923351731190785
C3L-00189,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.309110743247433
C3L-00277,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.2861365826119461
C3L-00401,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.5071211333441741
C3L-00589,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.2371397232307671
C3L-00599,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.4182447408280524
C3L-00622,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.3704066251457508
C3L-00625,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.7089601339191163
C3L-00640,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.7198926057378168
C3L-00819,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.119609156596369
C3L-00881,B_CELLS_NAIVE,Autophagy_Regulation_Signature,2.618887662403719
C3L-00928,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.2585990667768766
C3L-01031,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.8665187174836522
C3L-01036,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.3075474425890186
C3L-01037,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.6956048767880356
C3L-01051,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.0761501041711381
C3L-01052,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.9939905477338236
C3L-01053,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.2291108350871054
C3L-01054,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.0333106075655235
C3L-01124,B_CELLS_NAIVE,Autophagy_Regulation_Signature,1.3191364510615535
C3L-01328,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-1.069140406599636
C3L-01453,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.5103676313179901
C3L-01598,B_CELLS_NAIVE,Autophagy_Regulation_Signature,2.10379025209529
C3L-01637,B_CELLS_NAIVE,Autophagy_Regulation_Signature,1.4175622055875754
C3L-01662,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.5967284254535821
C3L-01687,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.7072473597212919
C3L-01689,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.6813550780586208
C3L-01703,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.0371551661787032
C3L-01971,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.2418386957270207
C3L-02109,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.5780486812075454
C3L-02112,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.4062433890290803
C3L-02115,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.5967500233241795
C3L-02116,B_CELLS_NAIVE,Autophagy_Regulation_Signature,2.861832921236931
C3L-02118,B_CELLS_NAIVE,Autophagy_Regulation_Signature,1.377468147313746
C3L-02463,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.0758426746574977
C3L-02604,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.7121164604278676
C3L-02606,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.995079196200939
C3L-02610,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.2646438098803564
C3L-02613,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.8887166140259863
C3L-02701,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.0410521479429871
C3L-02809,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.5858001232564547
C3L-02890,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.0421290828404264
C3L-02897,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.7363788604024973
C3L-02899,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.6574151120611934
C3L-03123,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.4570963947794585
C3L-03356,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.3852333215610319
C3L-03388,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.6725451662552719
C3L-03394,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.6266796061928267
C3L-03395,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.394658411300162
C3L-03628,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.1000132129077989
C3L-03630,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.3912804287860047
C3L-03632,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.6075023154694741
C3L-03635,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.2862434223081902
C3L-03639,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.9621969669959056
C3L-03743,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.4155373377409287
C3L-04027,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-1.0561265743873218
C3L-04080,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.5612286543227775
C3L-04473,B_CELLS_NAIVE,Autophagy_Regulation_Signature,1.948637743608555
C3L-04475,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.3701731187755049
C3L-04479,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.4847903869810851
C3L-04495,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.3993120376862529
C3L-04848,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.8373003054380895
C3L-04853,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.4086839521937001
C3N-00198,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.6843241531914357
C3N-00249,B_CELLS_NAIVE,Autophagy_Regulation_Signature,2.0281039676454324
C3N-00302,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.8539726895609892
C3N-00303,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.6495049639086311
C3N-00436,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.199272447383957
C3N-00511,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.0119360303063125
C3N-00512,B_CELLS_NAIVE,Autophagy_Regulation_Signature,2.9152280432838085
C3N-00514,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.7104185756949265
C3N-00516,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.416070832134322
C3N-00517,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.9936779650533896
C3N-00518,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.7394316563025296
C3N-00957,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.3155635326867007
C3N-01011,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.4565411794126016
C3N-01012,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.2535417243002765
C3N-01165,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.1905691195242685
C3N-01167,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.2819711090444647
C3N-01168,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.5293719439093564
C3N-01375,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.6138214477863275
C3N-01380,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.1848722316740426
C3N-01381,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.9803337769093522
C3N-01382,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.6129395512861712
C3N-01383,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.5927549634946959
C3N-01502,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.1399211492889953
C3N-01714,B_CELLS_NAIVE,Autophagy_Regulation_Signature,1.7194715962905776
C3N-01715,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.0813786947734765
C3N-01716,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.764525242534361
C3N-01719,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.4030549977556218
C3N-01998,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.0832399889500134
C3N-02010,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.679577737025119
C3N-02295,B_CELLS_NAIVE,Autophagy_Regulation_Signature,0.0316663785704965
C3N-02573,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.6602407268492392
C3N-02579,B_CELLS_NAIVE,Autophagy_Regulation_Signature,-0.1755664838124647
