Index,Rank,Cell.Interaction,Favorable.Cell.Type,Unfavorable.Cell.Type,No.Total.IMGP,No.Shared.IMGP,Enrichment.Ratio,P.Value,Adjust.P.Value,Permutation.FDR,Shared.IMGP,Total.IMGP
61,61,Cytotoxic_Tem,Cytotoxic,Tem,10,8,2.15,0.007393482,0.055093363,0.775409836,KLRB1_EWSR1/KLRB1_TBC1D5/KLRB1_NFATC4/KLRB1_DDX17/KLRB1_TBCD/APOL3_EWSR1/KLRB1_GDPD5/KLRB1_AKT3,KLRB1_GDPD5/GNLY_FLI1/KLRB1_TBC1D5/KLRB1_NFATC4/KLRB1_AKT3/GNLY_AKT3/KLRB1_EWSR1/APOL3_EWSR1/KLRB1_TBCD/KLRB1_DDX17
62,61,Tfh_Tem,Tfh,Tem,10,8,2.15,0.007393482,0.055093363,0.775409836,SIRPG_TBC1D5/SIRPG_AKT3/SIRPG_TBCD/SIRPG_FLI1/SIRPG_EWSR1/SIRPG_NFATC4/ZNF764_EWSR1/SIRPG_MEFV,SIRPG_MEFV/SIRPG_FLI1/CDK5R1_FLI1/TOX_TBC1D5/SIRPG_TBC1D5/SIRPG_NFATC4/SIRPG_AKT3/SIRPG_EWSR1/ZNF764_EWSR1/SIRPG_TBCD
63,63,B_Tcm,B,Tcm,34,20,1.581,0.008373575,0.061406214,0.761428571,BLNK_CASP8/GNG7_SNRPN/BLNK_CREBZF/BLK_REPS1/BLK_SNRPN/BLNK_MAP3K1/TCL1A_SNRPN/FAM30A_SNRPN/CD19_SNRPN/CD19_REPS1/FCRL2_SNRPN/CR2_SNRPN/BLNK_SNRPN/BLNK_CLUAP1/BLNK_CEP68/BLK_PCM1/MEF2C_SNRPN/MS4A1_SNRPN/SPIB_CEP68/SPIB_SNRPN,BLNK_CLUAP1/QRSL1_CDC14A/BLK_ATM/BLK_PCM1/HLA-DOB_PCM1/BLNK_PHC3/BLK_REPS1/IGHA1_REPS1/CD19_REPS1/BLNK_PSPC1/BLNK_ST3GAL1/BLNK_CASP8/MS4A1_SNRPN/TCL1A_SNRPN/CR2_SNRPN/FCRL2_SNRPN/BLK_SNRPN/CD19_SNRPN/FAM30A_SNRPN/SPIB_SNRPN/BACH2_SNRPN/GNG7_SNRPN/BLNK_SNRPN/MEF2C_SNRPN/CD72_TRAF3IP3/ABCB4_TRAF3IP3/SCN3A_TRAF3IP3/MEF2C_TRAF3IP3/CD72_NEFL/BLNK_CREBZF/SPIB_CEP68/BLNK_CEP68/SPIB_MAP3K1/BLNK_MAP3K1
64,64,Tem_Macrophage,Tem,Macrophage,12,9,2.016,0.008872537,0.064048629,0.76640625,AKT3_BCAT1/FLI1_MS4A4A/FLI1_BCAT1/FLI1_GM2A/LTK_BCAT1/DDX17_BCAT1/CCR2_BCAT1/FLI1_ATG7/FLI1_CTSK,MEFV_SULT1C2/FLI1_CTSK/CCR2_BCAT1/PRKY_BCAT1/FLI1_BCAT1/TBC1D5_BCAT1/AKT3_BCAT1/LTK_BCAT1/DDX17_BCAT1/FLI1_GM2A/FLI1_ATG7/FLI1_MS4A4A
65,65,Cytotoxic_Th,Cytotoxic,Th,26,16,1.654,0.010035802,0.071331394,0.785538462,KLRB1_DDX50/KLRB1_ATF2/KLRB1_ASF1A/KLRB1_LRBA/KLRB1_PHF10/KLRB1_SEC24C/KLRB1_RPA1/KLRB1_SLC25A12/KLRB1_NUP107/SIGIRR_ATF2/KLRB1_GOLGA8A/KLRB1_FRYL/KLRB1_UBE2L3/KLRK1_GOLGA8A/KLRB1_PPP2R5C/SIGIRR_NAP1L4,KLRB1_FRYL/KLRB1_RPA1/KLRD1_ICOS/GNLY_ICOS/KLRB1_LRBA/GZMH_ITM2A/SIGIRR_NAP1L4/KLRB1_ASF1A/KLRB1_GOLGA8A/KLRK1_GOLGA8A/KLRB1_ANP32B/KLRB1_DDX50/KLRB1_UBE2L3/KLRB1_SLC25A12/KLRB1_ATF2/SIGIRR_ATF2/KLRK1_CD28/KLRD1_CD28/GNLY_CD28/KLRB1_PPP2R5C/SIGIRR_PPP2R5C/KLRB1_NUP107/KLRB1_SEC24C/KLRB1_FAM111A/KLRB1_PHF10/KLRF1_PHF10
66,66,Mast_Th2,Mast,Th2,22,14,1.711,0.010594435,0.074161044,0.798787879,PPM1H_BIRC5/MS4A2_SLC39A14/CPA3_SLC39A14/SIGLEC6_SNRPD1/TPSAB1_SMAD2/MS4A2_WDHD1/MS4A2_SNRPD1/KIT_WDHD1/MS4A2_SMAD2/CPA3_WDHD1/CPA3_MB/MLPH_BIRC5/CPA3_SMAD2/MS4A2_MB,MS4A2_SNRPD1/SIGLEC6_SNRPD1/KIT_SNRPD1/CPA3_EVI5/TPSAB1_MB/MS4A2_MB/CPA3_MB/CALB2_GATA3/PRG2_GATA3/ABCC4_GATA3/CEACAM8_GATA3/MS4A2_WDHD1/CPA3_WDHD1/KIT_WDHD1/TPSAB1_SMAD2/SLC18A2_SMAD2/MS4A2_SMAD2/CPA3_SMAD2/MS4A2_SLC39A14/CPA3_SLC39A14/MLPH_BIRC5/PPM1H_BIRC5
67,67,Th_CD56dim NK,Th,CD56dim NK,7,6,2.304,0.012613848,0.086979073,0.812089552,ICOS_GZMB/ICOS_KIR2DL3/ICOS_KIR3DL1/CD28_GTF3C1/ICOS_KIR3DL2/CD28_GZMB,ICOS_KIR3DL2/ICOS_KIR2DL3/ICOS_GZMB/CD28_GZMB/PHF10_IL21R/ICOS_KIR3DL1/CD28_GTF3C1
68,68,Th2_Th,Th2,Th,29,17,1.576,0.015352994,0.104310046,0.822205882,EVI5_ATF2/GATA3_PHF10/GATA3_ATF2/GATA3_NAP1L4/GATA3_ANP32B/EVI5_DDX50/GATA3_PPP2R5C/GATA3_SLC25A12/GATA3_NUP107/CXCR6_GOLGA8A/GATA3_FRYL/GATA3_FAM111A/GATA3_UBE2L3/GATA3_GOLGA8A/GATA3_DDX50/LIMA1_UBE2L3/GATA3_ASF1A,GATA3_FRYL/SNRPD1_ICOS/SMAD2_ICOS/CDC25C_ICOS/SLC39A14_ITM2A/BIRC5_ITM2A/GATA3_NAP1L4/GATA3_ASF1A/CXCR6_GOLGA8A/IL26_GOLGA8A/GATA3_GOLGA8A/GATA3_ANP32B/EVI5_DDX50/GATA3_DDX50/ADCY1_UBE2L3/GATA3_UBE2L3/LIMA1_UBE2L3/GATA3_SLC25A12/EVI5_ATF2/GATA3_ATF2/AHI1_CD28/SNRPD1_CD28/MB_CD28/SMAD2_CD28/GSTA4_CD28/GATA3_PPP2R5C/GATA3_NUP107/GATA3_FAM111A/GATA3_PHF10
69,69,Cytotoxic_Eosinophil,Cytotoxic,Eosinophil,23,14,1.636,0.017906716,0.11989714,0.853768116,KLRB1_TKTL1/KLRB1_CCR3/KLRB1_SIAH1/KLRB1_RCOR3/KLRB1_IL5RA/KLRB1_CAT/KLRB1_TGIF1/KLRB1_RRP12/KLRB1_SYNJ1/KLRB1_GALC/RUNX3_RNASE2/KLRB1_RNASE2/RUNX3_GALC/KLRB1_KBTBD11,KLRB1_TKTL1/KLRB1_IL5RA/KLRB1_HRH4/KLRB1_RNASE2/RUNX3_RNASE2/KLRB1_CAT/KLRB1_CCR3/KLRF1_CCR3/KLRB1_GALC/RUNX3_GALC/KLRB1_CYSLTR2/GNLY_CYSLTR2/KLRB1_TGIF1/KLRB1_RRP12/KLRB1_RCOR3/KLRB1_SYNJ1/RORA_SYNJ1/GNLY_THBS4/KLRB1_KBTBD11/GNLY_SMPD3/KLRB1_EPN2/KLRB1_SIAH1/KLRF1_SIAH1
70,70,CD8 T_Neutrophil,CD8 T,Neutrophil,21,13,1.664,0.018645844,0.123062574,0.859142857,GZMM_SLC25A37/GZMM_CREB5/GZMM_HPSE/ZFP36L2_DYSF/CD8A_CEACAM3/GZMM_CEACAM3/ZFP36L2_SLC25A37/PRR5_CEACAM3/CD8A_DYSF/CD8A_SLC25A37/ZFP36L2_FPR1/GZMM_SLC22A4/CD8A_TNFRSF10C,DNAJB1_MGAM/PRR5_MGAM/APBA2_MGAM/LEPROTL1_MGAM/PPP1R2_MGAM/CD8A_DYSF/ZFP36L2_DYSF/GZMM_CEACAM3/CD8A_CEACAM3/PRR5_CEACAM3/GZMM_HPSE/GZMM_CREB5/CD8A_S100A12/GZMM_TNFRSF10C/CD8A_TNFRSF10C/GZMM_SLC22A4/GZMM_SLC25A37/CD8A_SLC25A37/ZFP36L2_SLC25A37/CD8A_FPR1/ZFP36L2_FPR1
